LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,3,1322,0,0,0,0,0
1,0,7,1085,0,0,0,0,0
2,1,17,1948,0,0,0,0,0
3,1,5,1678,0,0,0,0,0
4,1,6,1329,0,0,0,0,0
5,2,9,1212,0,0,0,0,0
6,2,3,1970,0,0,0,0,0
7,2,4,1571,0,0,0,0,0
8,4,8,1281,0,0,0,0,0
9,4,5,1214,0,0,0,0,0
10,4,6,1036,0,0,0,0,0
11,5,15,1282,0,0,0,0,0
12,6,16,1827,0,0,0,0,0
13,6,7,1774,0,0,0,0,0
14,8,12,1087,0,0,0,0,0
15,9,17,1321,0,0,0,0,0
16,10,11,1538,0,0,0,0,0
17,11,17,1629,0,0,0,0,0
18,11,12,1111,0,0,0,0,0
19,12,13,1293,0,0,0,0,0
20,13,14,1282,0,0,0,0,0
21,14,17,1394,0,0,0,0,0
22,14,15,1730,0,0,0,0,0
23,15,16,1953,0,0,0,0,0
