tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,7,9,115.01133708309327,0,0,0,0,0,0,0
1,4,7,135.17403484257147,0,0,0,0,0,0,0
2,13,7,193.100363981677,0,0,0,0,0,0,0
3,0,1,177.99209725043573,0,0,0,0,0,0,0
4,9,5,192.22626166439966,0,0,0,0,0,0,0
5,1,11,180.42109023116151,0,0,0,0,0,0,0
6,12,11,147.0424614167417,0,0,0,0,0,0,0
7,10,7,145.33219927261928,0,0,0,0,0,0,0
8,2,9,183.12290701506288,0,0,0,0,0,0,0
9,10,8,198.73830621045818,0,0,0,0,0,0,0
10,0,9,184.6614090027195,0,0,0,0,0,0,0
11,1,5,236.03371772806298,0,0,0,0,0,0,0
12,4,6,112.82971566790894,0,0,0,0,0,0,0
13,9,5,215.90930697831732,0,0,0,0,0,0,0
14,3,7,212.22958042767488,0,0,0,0,0,0,0
15,9,0,174.83920653409973,0,0,0,0,0,0,0
16,12,0,154.43883684877056,0,0,0,0,0,0,0
17,1,11,207.97325916186423,0,0,0,0,0,0,0
18,10,12,163.8378970509902,0,0,0,0,0,0,0
19,4,8,192.98603996193827,0,0,0,0,0,0,0
20,9,11,125.93581845148431,0,0,0,0,0,0,0
21,3,10,172.87533343377396,0,0,0,0,0,0,0
22,10,1,154.71445025788464,0,0,0,0,0,0,0
23,10,5,222.71899812449013,0,0,0,0,0,0,0
24,4,2,146.2744911026334,0,0,0,0,0,0,0
25,6,13,189.7004534898087,0,0,0,0,0,0,0
26,13,8,150.33142761064164,0,0,0,0,0,0,0
27,10,4,180.42721940186243,0,0,0,0,0,0,0
28,7,13,173.45969810199648,0,0,0,0,0,0,0
29,7,4,193.39518575244668,0,0,0,0,0,0,0
30,2,8,207.11472475028845,0,0,0,0,0,0,0
31,0,6,200.85245279283578,0,0,0,0,0,0,0
32,10,2,180.30760354384932,0,0,0,0,0,0,0
33,6,13,212.73530706861487,0,0,0,0,0,0,0
34,12,4,159.95999528323372,0,0,0,0,0,0,0
35,4,11,169.1835272443911,0,0,0,0,0,0,0
36,4,3,188.59350555195599,0,0,0,0,0,0,0
37,6,9,150.78598012302297,0,0,0,0,0,0,0
38,2,10,114.9182526849952,0,0,0,0,0,0,0
39,9,1,141.29822080283384,0,0,0,0,0,0,0
40,2,6,192.47901223945115,0,0,0,0,0,0,0
41,2,11,193.77291264525337,0,0,0,0,0,0,0
42,6,5,110.89079938015799,0,0,0,0,0,0,0
43,8,3,200.17397312624033,0,0,0,0,0,0,0
44,4,10,211.5163912491126,0,0,0,0,0,0,0
45,8,5,210.49948340545012,0,0,0,0,0,0,0
46,7,12,158.868064636541,0,0,0,0,0,0,0
47,8,12,159.73981871196455,0,0,0,0,0,0,0
48,7,6,158.27575323885355,0,0,0,0,0,0,0
49,4,7,200.87532234263625,0,0,0,0,0,0,0
50,10,8,102.04123191837192,0,0,0,0,0,0,0
51,8,10,161.24342770121558,0,0,0,0,0,0,0
52,4,6,114.86984298720365,0,0,0,0,0,0,0
53,9,3,138.3801518121141,0,0,0,0,0,0,0
54,6,12,135.0190943705992,0,0,0,0,0,0,0
55,12,9,178.6531926850558,0,0,0,0,0,0,0
56,7,5,146.82441346991905,0,0,0,0,0,0,0
57,0,10,125.94078325273858,0,0,0,0,0,0,0
58,1,3,127.834097681705,0,0,0,0,0,0,0
59,8,3,113.56476196588947,0,0,0,0,0,0,0
60,11,5,196.20613551668137,0,0,0,0,0,0,0
61,2,9,142.34614355463935,0,0,0,0,0,0,0
62,4,13,216.51781463728543,0,0,0,0,0,0,0
63,1,3,131.6802293549068,0,0,0,0,0,0,0
64,13,6,149.0927789732475,0,0,0,0,0,0,0
65,11,6,117.01844758485318,0,0,0,0,0,0,0
66,5,0,195.14831274910125,0,0,0,0,0,0,0
67,11,2,182.81253952591067,0,0,0,0,0,0,0
68,2,13,187.422722350787,0,0,0,0,0,0,0
69,10,11,163.4945393585601,0,0,0,0,0,0,0
70,6,12,187.23472397191563,0,0,0,0,0,0,0
71,13,10,192.45462041278813,0,0,0,0,0,0,0
72,6,7,126.14599162742039,0,0,0,0,0,0,0
73,10,5,184.3350109916497,0,0,0,0,0,0,0
74,0,5,158.27660626940013,0,0,0,0,0,0,0
75,3,11,217.7773885608522,0,0,0,0,0,0,0
76,3,0,108.77376054836682,0,0,0,0,0,0,0
77,9,7,102.92073054760345,0,0,0,0,0,0,0
78,10,4,182.55263007363516,0,0,0,0,0,0,0
79,8,1,186.74954212940597,0,0,0,0,0,0,0
