tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,19,12,138.8237762470564,0,0,0,0,0,0,0
1,23,11,133.07398291440217,0,0,0,0,0,0,0
2,24,0,116.65226619790461,0,0,0,0,0,0,0
3,12,25,148.75205219833276,0,0,0,0,0,0,0
4,4,0,150.095794944996,0,0,0,0,0,0,0
5,25,24,164.3423801055365,0,0,0,0,0,0,0
6,8,13,106.709991212801,0,0,0,0,0,0,0
7,10,23,121.34182713218908,0,0,0,0,0,0,0
8,26,15,141.4496663234912,0,0,0,0,0,0,0
9,9,21,224.07638334873297,0,0,0,0,0,0,0
10,15,13,203.6131024659278,0,0,0,0,0,0,0
11,8,10,181.94881056074598,0,0,0,0,0,0,0
12,4,23,198.11689448287885,0,0,0,0,0,0,0
13,9,3,188.45187175486632,0,0,0,0,0,0,0
14,2,0,147.771784972834,0,0,0,0,0,0,0
15,5,18,153.3546702406929,0,0,0,0,0,0,0
16,16,1,227.90066290777645,0,0,0,0,0,0,0
17,14,10,154.15952060634433,0,0,0,0,0,0,0
18,9,1,107.55061862448552,0,0,0,0,0,0,0
19,10,2,207.0301457588473,0,0,0,0,0,0,0
20,12,24,147.52610848493524,0,0,0,0,0,0,0
21,16,1,128.87308605253884,0,0,0,0,0,0,0
22,9,2,175.5279150895292,0,0,0,0,0,0,0
23,2,17,222.46396268477076,0,0,0,0,0,0,0
24,0,10,100.18323841038398,0,0,0,0,0,0,0
25,23,8,151.0425124893927,0,0,0,0,0,0,0
26,22,0,176.04832412906802,0,0,0,0,0,0,0
27,10,4,157.48491833762802,0,0,0,0,0,0,0
28,12,8,180.92454713949323,0,0,0,0,0,0,0
29,10,26,202.21435747890496,0,0,0,0,0,0,0
30,22,21,201.38572520380342,0,0,0,0,0,0,0
31,12,11,167.50166124521144,0,0,0,0,0,0,0
32,7,10,164.69589166093493,0,0,0,0,0,0,0
33,16,25,186.79125673466106,0,0,0,0,0,0,0
34,5,26,126.09025963103514,0,0,0,0,0,0,0
35,7,15,145.76190737370703,0,0,0,0,0,0,0
36,10,17,163.859757553578,0,0,0,0,0,0,0
37,23,12,100.7644134916448,0,0,0,0,0,0,0
38,25,0,210.74325093212178,0,0,0,0,0,0,0
39,12,5,231.77386852552996,0,0,0,0,0,0,0
