LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,16,1553,0,0,0,0,0
1,0,3,1289,0,0,0,0,0
2,0,20,1551,0,0,0,0,0
3,1,20,1097,0,0,0,0,0
4,1,7,1455,0,0,0,0,0
5,2,18,1097,0,0,0,0,0
6,2,3,1436,0,0,0,0,0
7,3,18,1094,0,0,0,0,0
8,3,26,1697,0,0,0,0,0
9,3,15,1269,0,0,0,0,0
10,4,5,1506,0,0,0,0,0
11,4,6,1700,0,0,0,0,0
12,4,7,1693,0,0,0,0,0
13,5,8,1943,0,0,0,0,0
14,6,23,1823,0,0,0,0,0
15,6,7,1946,0,0,0,0,0
16,8,9,1456,0,0,0,0,0
17,8,13,1021,0,0,0,0,0
18,8,14,1411,0,0,0,0,0
19,8,25,1194,0,0,0,0,0
20,10,25,1582,0,0,0,0,0
21,10,12,1343,0,0,0,0,0
22,11,25,1878,0,0,0,0,0
23,11,26,1290,0,0,0,0,0
24,13,23,1871,0,0,0,0,0
25,15,16,1984,0,0,0,0,0
26,17,26,1460,0,0,0,0,0
27,17,19,1291,0,0,0,0,0
28,19,20,1264,0,0,0,0,0
29,20,21,1678,0,0,0,0,0
30,21,22,1161,0,0,0,0,0
31,21,23,1020,0,0,0,0,0
32,22,23,1447,0,0,0,0,0
33,23,24,1061,0,0,0,0,0
34,24,25,1747,0,0,0,0,0
35,25,26,1194,0,0,0,0,0
