tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,9,10,118.92870532525599,0,0,0,0,0,0,0
1,3,8,133.76300172811577,0,0,0,0,0,0,0
2,6,9,127.24749144792784,0,0,0,0,0,0,0
3,9,0,234.27389241343045,0,0,0,0,0,0,0
4,0,9,172.03615027449058,0,0,0,0,0,0,0
5,5,2,108.48412049220947,0,0,0,0,0,0,0
6,1,3,156.8942546544662,0,0,0,0,0,0,0
7,0,6,130.41263454607937,0,0,0,0,0,0,0
8,2,7,166.84917804430967,0,0,0,0,0,0,0
9,10,9,125.76171142757957,0,0,0,0,0,0,0
10,2,1,181.99634242148778,0,0,0,0,0,0,0
11,5,2,135.726350167501,0,0,0,0,0,0,0
12,5,3,217.4842537889023,0,0,0,0,0,0,0
13,2,9,120.6765664042012,0,0,0,0,0,0,0
14,3,4,216.81060853918842,0,0,0,0,0,0,0
15,9,4,214.2453790538454,0,0,0,0,0,0,0
16,8,10,181.2286305246318,0,0,0,0,0,0,0
17,8,4,204.3664243206353,0,0,0,0,0,0,0
18,9,2,197.02305766106005,0,0,0,0,0,0,0
19,7,4,155.32006770328374,0,0,0,0,0,0,0
20,0,6,125.49152694510929,0,0,0,0,0,0,0
21,1,9,127.49607972548094,0,0,0,0,0,0,0
22,7,1,122.67533750636109,0,0,0,0,0,0,0
23,1,0,130.64327672503518,0,0,0,0,0,0,0
24,0,3,211.7162925319305,0,0,0,0,0,0,0
25,9,3,148.60657029530907,0,0,0,0,0,0,0
26,0,2,154.21842088279698,0,0,0,0,0,0,0
27,9,8,151.53695819353626,0,0,0,0,0,0,0
28,2,5,102.62496139494245,0,0,0,0,0,0,0
29,3,7,144.9643220626947,0,0,0,0,0,0,0
30,9,0,223.45129286643876,0,0,0,0,0,0,0
31,6,10,180.21633391398422,0,0,0,0,0,0,0
32,5,8,119.10852846866935,0,0,0,0,0,0,0
33,7,3,191.2646609700215,0,0,0,0,0,0,0
34,1,2,166.8307355307354,0,0,0,0,0,0,0
35,10,3,168.99888409439268,0,0,0,0,0,0,0
36,5,6,194.65021767463864,0,0,0,0,0,0,0
37,10,1,177.87783793939485,0,0,0,0,0,0,0
38,4,2,147.83939664795372,0,0,0,0,0,0,0
39,6,10,131.1132146029006,0,0,0,0,0,0,0
