tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,3,7,202.74238557289812,0,0,0,0,0,0,0
1,1,5,121.06368614078455,0,0,0,0,0,0,0
2,8,6,126.7189994914558,0,0,0,0,0,0,0
3,5,4,218.77517851631933,0,0,0,0,0,0,0
4,11,9,223.35423147662001,0,0,0,0,0,0,0
5,3,2,172.0313156074924,0,0,0,0,0,0,0
6,3,9,132.43529970791678,0,0,0,0,0,0,0
7,7,2,106.43797041916689,0,0,0,0,0,0,0
8,5,10,182.84011502877541,0,0,0,0,0,0,0
9,6,9,129.27233305732216,0,0,0,0,0,0,0
10,11,0,140.10239277303972,0,0,0,0,0,0,0
11,7,4,103.94832176504472,0,0,0,0,0,0,0
12,6,2,160.44320557850315,0,0,0,0,0,0,0
13,10,2,130.05259204974055,0,0,0,0,0,0,0
14,11,0,198.13802783306392,0,0,0,0,0,0,0
15,8,11,211.6520735650872,0,0,0,0,0,0,0
16,2,4,111.48930587169848,0,0,0,0,0,0,0
17,8,2,124.88963449884221,0,0,0,0,0,0,0
18,3,1,127.6335956329498,0,0,0,0,0,0,0
19,11,3,222.06494580585388,0,0,0,0,0,0,0
20,1,2,202.91446942199246,0,0,0,0,0,0,0
21,7,9,160.08132241331046,0,0,0,0,0,0,0
22,0,4,106.16682817293757,0,0,0,0,0,0,0
23,10,8,121.94360085049013,0,0,0,0,0,0,0
24,6,10,217.01743183300778,0,0,0,0,0,0,0
25,0,3,106.19072941321187,0,0,0,0,0,0,0
26,11,3,176.6541764255834,0,0,0,0,0,0,0
27,10,0,131.73932430684036,0,0,0,0,0,0,0
28,1,2,174.3828797013719,0,0,0,0,0,0,0
29,6,0,172.7394757084801,0,0,0,0,0,0,0
30,1,11,174.1039674785504,0,0,0,0,0,0,0
31,7,10,161.5768820148059,0,0,0,0,0,0,0
32,7,8,198.91636851785856,0,0,0,0,0,0,0
33,3,7,143.58549218869268,0,0,0,0,0,0,0
34,10,11,102.00046390670818,0,0,0,0,0,0,0
35,10,8,146.61758207582284,0,0,0,0,0,0,0
36,9,5,136.02841618652297,0,0,0,0,0,0,0
37,7,6,204.6781499408573,0,0,0,0,0,0,0
38,6,5,159.28153560374636,0,0,0,0,0,0,0
39,4,2,123.66273368732904,0,0,0,0,0,0,0
