tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,16,28,167.03425584406094,0,0,0,0,0,0,0
1,24,10,198.9817620526665,0,0,0,0,0,0,0
2,24,1,199.19254760623625,0,0,0,0,0,0,0
3,26,24,205.17618000652618,0,0,0,0,0,0,0
4,12,15,117.99711755674659,0,0,0,0,0,0,0
5,22,13,209.54070335799292,0,0,0,0,0,0,0
6,2,7,132.19424091746563,0,0,0,0,0,0,0
7,25,22,159.39912463163984,0,0,0,0,0,0,0
8,7,28,142.77163346158,0,0,0,0,0,0,0
9,6,21,173.72184466122897,0,0,0,0,0,0,0
10,24,25,210.156900056228,0,0,0,0,0,0,0
11,8,22,121.68780540063696,0,0,0,0,0,0,0
12,7,10,175.608824905717,0,0,0,0,0,0,0
13,4,15,168.23423161101175,0,0,0,0,0,0,0
14,8,6,162.49550245974612,0,0,0,0,0,0,0
15,17,3,117.17025647093459,0,0,0,0,0,0,0
16,1,10,146.17164668364327,0,0,0,0,0,0,0
17,7,6,172.08956811024314,0,0,0,0,0,0,0
18,15,10,210.19463660170868,0,0,0,0,0,0,0
19,14,17,195.3187432379152,0,0,0,0,0,0,0
20,11,6,110.68084739336747,0,0,0,0,0,0,0
21,2,6,106.95753472431598,0,0,0,0,0,0,0
22,25,18,203.014953130748,0,0,0,0,0,0,0
23,22,12,154.82122254206735,0,0,0,0,0,0,0
24,10,8,182.79212344229114,0,0,0,0,0,0,0
25,18,7,118.11482785327837,0,0,0,0,0,0,0
26,21,17,148.13771382982858,0,0,0,0,0,0,0
27,16,6,212.3760179089353,0,0,0,0,0,0,0
28,20,19,194.13387907892616,0,0,0,0,0,0,0
29,22,20,110.72048697589241,0,0,0,0,0,0,0
30,19,8,195.1093640260406,0,0,0,0,0,0,0
31,18,17,113.52579788166283,0,0,0,0,0,0,0
32,0,10,169.00934451991967,0,0,0,0,0,0,0
33,8,27,153.5000641287104,0,0,0,0,0,0,0
34,14,9,167.523888920469,0,0,0,0,0,0,0
35,13,6,185.09561498812354,0,0,0,0,0,0,0
36,4,26,198.49165102432073,0,0,0,0,0,0,0
37,19,6,160.1014158998407,0,0,0,0,0,0,0
38,21,27,168.44669524655592,0,0,0,0,0,0,0
39,15,6,105.34498543818111,0,0,0,0,0,0,0
