LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,11,1835,0,0,0,0,0
1,0,4,1075,0,0,0,0,0
2,1,18,1522,0,0,0,0,0
3,1,3,1407,0,0,0,0,0
4,2,12,1604,0,0,0,0,0
5,2,13,1161,0,0,0,0,0
6,3,11,1178,0,0,0,0,0
7,4,17,1153,0,0,0,0,0
8,5,17,1670,0,0,0,0,0
9,5,12,1769,0,0,0,0,0
10,6,17,1056,0,0,0,0,0
11,6,18,1491,0,0,0,0,0
12,7,17,1852,0,0,0,0,0
13,7,11,1280,0,0,0,0,0
14,8,17,1194,0,0,0,0,0
15,8,12,1542,0,0,0,0,0
16,9,20,1918,0,0,0,0,0
17,9,13,1962,0,0,0,0,0
18,10,12,1375,0,0,0,0,0
19,10,14,1488,0,0,0,0,0
20,11,13,1985,0,0,0,0,0
21,11,16,1880,0,0,0,0,0
22,11,18,1166,0,0,0,0,0
23,12,13,1085,0,0,0,0,0
24,12,17,1671,0,0,0,0,0
25,12,23,1112,0,0,0,0,0
26,12,24,1017,0,0,0,0,0
27,12,26,1020,0,0,0,0,0
28,12,27,1727,0,0,0,0,0
29,13,14,1045,0,0,0,0,0
30,13,19,1564,0,0,0,0,0
31,13,28,1401,0,0,0,0,0
32,14,19,1018,0,0,0,0,0
33,14,20,1073,0,0,0,0,0
34,14,21,1239,0,0,0,0,0
35,14,25,1950,0,0,0,0,0
36,14,26,1105,0,0,0,0,0
37,14,28,1172,0,0,0,0,0
38,15,16,1864,0,0,0,0,0
39,15,17,1644,0,0,0,0,0
40,17,18,1971,0,0,0,0,0
41,21,22,1167,0,0,0,0,0
42,22,23,1629,0,0,0,0,0
43,24,25,1463,0,0,0,0,0
44,27,28,1648,0,0,0,0,0
