LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,14,1720,0,0,0,0,0
1,1,14,1570,0,0,0,0,0
2,3,21,1093,0,0,0,0,0
3,4,23,1354,0,0,0,0,0
4,5,15,1410,0,0,0,0,0
5,6,26,1775,0,0,0,0,0
6,7,14,1840,0,0,0,0,0
7,8,21,1256,0,0,0,0,0
8,9,12,1174,0,0,0,0,0
9,10,11,1813,0,0,0,0,0
10,10,23,1116,0,0,0,0,0
11,11,15,1358,0,0,0,0,0
12,12,25,1234,0,0,0,0,0
13,13,25,1392,0,0,0,0,0
14,14,17,1890,0,0,0,0,0
15,14,21,1799,0,0,0,0,0
16,14,26,1162,0,0,0,0,0
17,15,16,1391,0,0,0,0,0
18,15,25,1067,0,0,0,0,0
19,15,21,1030,0,0,0,0,0
20,16,17,1941,0,0,0,0,0
21,16,19,1867,0,0,0,0,0
22,16,21,1373,0,0,0,0,0
23,18,20,1134,0,0,0,0,0
24,20,21,1486,0,0,0,0,0
25,21,24,1140,0,0,0,0,0
26,21,25,1561,0,0,0,0,0
27,21,27,1835,0,0,0,0,0
28,22,23,1429,0,0,0,0,0
