tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,8,10,165.3792671106953,0,0,0,0,0,0,0
1,9,15,107.45571914966214,0,0,0,0,0,0,0
2,3,4,197.114529167172,0,0,0,0,0,0,0
3,3,4,141.377569026876,0,0,0,0,0,0,0
4,5,2,172.88331612226546,0,0,0,0,0,0,0
5,13,7,163.36589558210983,0,0,0,0,0,0,0
6,3,0,177.34072370497574,0,0,0,0,0,0,0
7,14,1,140.6134124796081,0,0,0,0,0,0,0
8,13,2,113.16403812733734,0,0,0,0,0,0,0
9,1,14,109.18652220977647,0,0,0,0,0,0,0
10,3,7,177.1355487761412,0,0,0,0,0,0,0
11,3,13,183.89712642513692,0,0,0,0,0,0,0
12,9,4,170.4949484173033,0,0,0,0,0,0,0
13,6,7,175.5506255793694,0,0,0,0,0,0,0
14,7,11,232.66000350024612,0,0,0,0,0,0,0
15,12,7,148.67591257215415,0,0,0,0,0,0,0
16,4,0,175.63881170427453,0,0,0,0,0,0,0
17,8,3,184.46105716943885,0,0,0,0,0,0,0
18,14,0,130.70385336534164,0,0,0,0,0,0,0
19,15,12,161.57653471811744,0,0,0,0,0,0,0
20,13,5,220.28051611946373,0,0,0,0,0,0,0
21,8,9,161.27717940978258,0,0,0,0,0,0,0
22,14,10,120.49048835086134,0,0,0,0,0,0,0
23,11,1,102.2183616140451,0,0,0,0,0,0,0
24,7,6,153.49697920636044,0,0,0,0,0,0,0
25,2,3,125.19369519487279,0,0,0,0,0,0,0
26,2,15,146.3804321562683,0,0,0,0,0,0,0
27,5,11,139.81970583014143,0,0,0,0,0,0,0
28,8,3,160.22939205663417,0,0,0,0,0,0,0
29,5,10,190.13811835734236,0,0,0,0,0,0,0
30,4,6,211.88122517895545,0,0,0,0,0,0,0
31,10,0,148.09979632027267,0,0,0,0,0,0,0
32,13,4,226.51228466476994,0,0,0,0,0,0,0
33,8,9,140.75848738535393,0,0,0,0,0,0,0
34,7,3,233.268156925419,0,0,0,0,0,0,0
35,7,14,100.80565346856265,0,0,0,0,0,0,0
36,5,2,144.9328772408822,0,0,0,0,0,0,0
37,12,9,216.64993039748578,0,0,0,0,0,0,0
38,2,4,140.59339718570175,0,0,0,0,0,0,0
39,13,7,188.2575912753161,0,0,0,0,0,0,0
40,11,9,117.3692743205386,0,0,0,0,0,0,0
41,1,0,186.26205584096346,0,0,0,0,0,0,0
42,9,1,169.127769182037,0,0,0,0,0,0,0
43,12,7,120.77631493194679,0,0,0,0,0,0,0
44,0,8,108.09361529449933,0,0,0,0,0,0,0
45,4,0,179.10784591379053,0,0,0,0,0,0,0
46,9,12,226.9991444555787,0,0,0,0,0,0,0
47,14,12,123.71595924067682,0,0,0,0,0,0,0
48,4,1,183.2632279739965,0,0,0,0,0,0,0
49,10,6,191.60719159476406,0,0,0,0,0,0,0
50,13,0,193.66137558255303,0,0,0,0,0,0,0
51,5,9,144.24429940669205,0,0,0,0,0,0,0
52,6,7,122.69763732791478,0,0,0,0,0,0,0
53,6,5,164.6525331530329,0,0,0,0,0,0,0
54,1,9,112.04085794574826,0,0,0,0,0,0,0
55,1,6,205.8985010531294,0,0,0,0,0,0,0
56,1,10,123.78798162063447,0,0,0,0,0,0,0
57,11,8,145.04851441038093,0,0,0,0,0,0,0
58,10,11,198.93156108648685,0,0,0,0,0,0,0
59,6,3,188.57573764965707,0,0,0,0,0,0,0
60,2,9,219.7046166401845,0,0,0,0,0,0,0
61,2,3,180.80488053033656,0,0,0,0,0,0,0
62,4,13,110.3595461882035,0,0,0,0,0,0,0
63,11,10,195.15320205960913,0,0,0,0,0,0,0
64,5,2,242.6355329520634,0,0,0,0,0,0,0
65,5,12,176.50559403224332,0,0,0,0,0,0,0
66,8,6,150.0701880659625,0,0,0,0,0,0,0
67,7,4,214.78468097867892,0,0,0,0,0,0,0
68,15,7,173.60843367331773,0,0,0,0,0,0,0
69,8,1,154.76167791863907,0,0,0,0,0,0,0
70,10,4,210.12558221499395,0,0,0,0,0,0,0
71,12,15,126.24137227042635,0,0,0,0,0,0,0
72,13,3,185.69279270292446,0,0,0,0,0,0,0
73,7,10,140.9516216591771,0,0,0,0,0,0,0
74,5,13,181.15564412492006,0,0,0,0,0,0,0
75,6,13,103.99199235113062,0,0,0,0,0,0,0
76,0,1,104.22883679624196,0,0,0,0,0,0,0
77,8,15,209.78791593620377,0,0,0,0,0,0,0
78,7,1,163.91616916630545,0,0,0,0,0,0,0
79,15,9,151.7491345710844,0,0,0,0,0,0,0
