tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,3,12,157.40480617106596,0,0,0,0,0,0,0
1,0,1,114.95909990796292,0,0,0,0,0,0,0
2,5,2,207.98208874862294,0,0,0,0,0,0,0
3,4,12,229.62430079017733,0,0,0,0,0,0,0
4,3,1,188.2859340189326,0,0,0,0,0,0,0
5,7,3,145.01890093905084,0,0,0,0,0,0,0
6,2,10,155.98589687207104,0,0,0,0,0,0,0
7,4,2,184.6966052330603,0,0,0,0,0,0,0
8,10,12,165.06791820432994,0,0,0,0,0,0,0
9,10,7,138.4876475987296,0,0,0,0,0,0,0
10,11,1,210.34014437369956,0,0,0,0,0,0,0
11,5,8,166.45350451163108,0,0,0,0,0,0,0
12,5,7,138.6507431584891,0,0,0,0,0,0,0
13,6,9,148.41745416221582,0,0,0,0,0,0,0
14,4,7,232.0435386549503,0,0,0,0,0,0,0
15,9,6,102.52191154520044,0,0,0,0,0,0,0
16,2,6,186.83542110741877,0,0,0,0,0,0,0
17,8,10,165.9877200290208,0,0,0,0,0,0,0
18,3,8,211.128289142933,0,0,0,0,0,0,0
19,5,1,121.87805847126971,0,0,0,0,0,0,0
20,6,9,191.73020029434832,0,0,0,0,0,0,0
21,4,1,103.70741849949171,0,0,0,0,0,0,0
22,8,5,195.24608002055982,0,0,0,0,0,0,0
23,10,0,104.34042478273867,0,0,0,0,0,0,0
24,7,5,131.97243740046724,0,0,0,0,0,0,0
25,4,12,163.11366328748073,0,0,0,0,0,0,0
26,5,7,208.19464319187523,0,0,0,0,0,0,0
27,7,3,169.9107273853602,0,0,0,0,0,0,0
28,8,12,111.64122420321141,0,0,0,0,0,0,0
29,1,0,193.65955731088656,0,0,0,0,0,0,0
30,3,0,169.86075825782612,0,0,0,0,0,0,0
31,11,9,199.26235848759876,0,0,0,0,0,0,0
32,6,1,206.69932762893018,0,0,0,0,0,0,0
33,5,8,151.29418599534912,0,0,0,0,0,0,0
34,0,1,161.94441437781308,0,0,0,0,0,0,0
35,9,12,122.9128541939438,0,0,0,0,0,0,0
36,11,9,198.24811893087082,0,0,0,0,0,0,0
37,2,3,201.83159144523768,0,0,0,0,0,0,0
38,5,11,189.9020726521782,0,0,0,0,0,0,0
39,4,1,215.16180097432516,0,0,0,0,0,0,0
