LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,1,1503,0,0,0,0,0
1,0,3,1933,0,0,0,0,0
2,1,40,1017,0,0,0,0,0
3,2,33,1593,0,0,0,0,0
4,2,11,1467,0,0,0,0,0
5,3,11,1629,0,0,0,0,0
6,3,5,1279,0,0,0,0,0
7,4,5,1970,0,0,0,0,0
8,4,6,1987,0,0,0,0,0
9,6,7,1641,0,0,0,0,0
10,7,8,1178,0,0,0,0,0
11,8,9,1489,0,0,0,0,0
12,8,26,1416,0,0,0,0,0
13,8,29,1614,0,0,0,0,0
14,9,17,1733,0,0,0,0,0
15,10,33,1850,0,0,0,0,0
16,11,41,1268,0,0,0,0,0
17,12,13,1705,0,0,0,0,0
18,13,16,1384,0,0,0,0,0
19,13,34,1219,0,0,0,0,0
20,13,14,1688,0,0,0,0,0
21,13,22,1356,0,0,0,0,0
22,14,15,1988,0,0,0,0,0
23,15,30,1129,0,0,0,0,0
24,16,35,1516,0,0,0,0,0
25,17,19,1051,0,0,0,0,0
26,18,27,1962,0,0,0,0,0
27,18,19,1993,0,0,0,0,0
28,20,30,1238,0,0,0,0,0
29,21,25,1387,0,0,0,0,0
30,21,27,1648,0,0,0,0,0
31,23,34,1433,0,0,0,0,0
32,24,25,1490,0,0,0,0,0
33,24,31,1370,0,0,0,0,0
34,26,27,1972,0,0,0,0,0
35,28,30,1138,0,0,0,0,0
36,29,30,1631,0,0,0,0,0
37,30,31,1057,0,0,0,0,0
38,32,33,1145,0,0,0,0,0
39,32,41,1304,0,0,0,0,0
40,35,36,1988,0,0,0,0,0
41,36,37,1574,0,0,0,0,0
42,37,38,1311,0,0,0,0,0
43,38,40,1962,0,0,0,0,0
44,39,40,1698,0,0,0,0,0
45,39,41,1072,0,0,0,0,0
