tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,37,4,173.02152342372017,0,0,0,0,0,0,0
1,35,19,100.68937758572856,0,0,0,0,0,0,0
2,21,7,140.5278055505619,0,0,0,0,0,0,0
3,12,21,124.9284679770105,0,0,0,0,0,0,0
4,32,0,196.8487275853934,0,0,0,0,0,0,0
5,17,15,143.90039995021172,0,0,0,0,0,0,0
6,16,10,190.45181239896834,0,0,0,0,0,0,0
7,29,16,153.09910850633017,0,0,0,0,0,0,0
8,41,18,120.92483769322804,0,0,0,0,0,0,0
9,27,34,166.12318352326633,0,0,0,0,0,0,0
