LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,30,1281,0,0,0,0,0
1,1,6,1856,0,0,0,0,0
2,2,30,1076,0,0,0,0,0
3,3,30,1502,0,0,0,0,0
4,4,7,1338,0,0,0,0,0
5,5,10,1203,0,0,0,0,0
6,6,42,1517,0,0,0,0,0
7,6,57,1937,0,0,0,0,0
8,7,42,1387,0,0,0,0,0
9,8,48,1586,0,0,0,0,0
10,9,22,1348,0,0,0,0,0
11,10,30,1768,0,0,0,0,0
12,11,34,1612,0,0,0,0,0
13,12,41,1903,0,0,0,0,0
14,12,13,1708,0,0,0,0,0
15,13,28,1780,0,0,0,0,0
16,14,30,1842,0,0,0,0,0
17,15,30,1822,0,0,0,0,0
18,16,19,1753,0,0,0,0,0
19,16,30,1751,0,0,0,0,0
20,17,23,1764,0,0,0,0,0
21,18,19,1922,0,0,0,0,0
22,18,21,1347,0,0,0,0,0
23,18,22,1505,0,0,0,0,0
24,20,25,1932,0,0,0,0,0
25,22,30,1352,0,0,0,0,0
26,22,23,1842,0,0,0,0,0
27,23,48,1354,0,0,0,0,0
28,24,30,1472,0,0,0,0,0
29,25,30,1109,0,0,0,0,0
30,26,66,1804,0,0,0,0,0
31,26,30,1505,0,0,0,0,0
32,26,31,1428,0,0,0,0,0
33,27,30,1864,0,0,0,0,0
34,27,55,1947,0,0,0,0,0
35,28,37,1761,0,0,0,0,0
36,29,37,1645,0,0,0,0,0
37,29,38,1293,0,0,0,0,0
38,30,31,1038,0,0,0,0,0
39,30,34,1457,0,0,0,0,0
40,30,35,1274,0,0,0,0,0
41,30,36,1732,0,0,0,0,0
42,30,39,1043,0,0,0,0,0
43,30,40,1282,0,0,0,0,0
44,30,42,1845,0,0,0,0,0
45,30,44,1967,0,0,0,0,0
46,30,45,1450,0,0,0,0,0
47,30,48,1293,0,0,0,0,0
48,30,49,1448,0,0,0,0,0
49,30,50,1830,0,0,0,0,0
50,30,51,1275,0,0,0,0,0
51,30,52,1540,0,0,0,0,0
52,30,55,1684,0,0,0,0,0
53,30,59,1933,0,0,0,0,0
54,30,61,1971,0,0,0,0,0
55,30,62,1085,0,0,0,0,0
56,31,59,1354,0,0,0,0,0
57,32,50,1831,0,0,0,0,0
58,33,34,1386,0,0,0,0,0
59,36,56,1353,0,0,0,0,0
60,38,58,1700,0,0,0,0,0
61,38,39,1348,0,0,0,0,0
62,41,60,1989,0,0,0,0,0
63,42,43,1004,0,0,0,0,0
64,42,46,1164,0,0,0,0,0
65,42,56,1567,0,0,0,0,0
66,47,48,1870,0,0,0,0,0
67,48,53,1760,0,0,0,0,0
68,48,54,1304,0,0,0,0,0
69,62,63,1196,0,0,0,0,0
70,63,64,1458,0,0,0,0,0
71,65,66,1344,0,0,0,0,0
72,66,67,1205,0,0,0,0,0
73,66,68,1129,0,0,0,0,0
