tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,66,30,220.93309005040544,0,0,0,0,0,0,0
1,61,14,113.57698864665579,0,0,0,0,0,0,0
2,14,63,111.63330867686147,0,0,0,0,0,0,0
3,35,58,180.79132568403816,0,0,0,0,0,0,0
4,4,48,186.37615601297864,0,0,0,0,0,0,0
5,38,5,182.45509108497865,0,0,0,0,0,0,0
6,31,48,162.73842215720964,0,0,0,0,0,0,0
7,38,39,108.47444740923494,0,0,0,0,0,0,0
8,19,68,116.72255240881425,0,0,0,0,0,0,0
9,14,27,206.44918971567097,0,0,0,0,0,0,0
10,56,32,217.9559768853996,0,0,0,0,0,0,0
11,15,16,152.57289710993703,0,0,0,0,0,0,0
12,9,41,144.15773216954196,0,0,0,0,0,0,0
13,12,28,185.37807982180124,0,0,0,0,0,0,0
14,15,17,161.31313653700374,0,0,0,0,0,0,0
15,27,49,155.74176825168715,0,0,0,0,0,0,0
16,15,32,144.39378758540133,0,0,0,0,0,0,0
17,45,59,108.19985046235341,0,0,0,0,0,0,0
18,36,46,177.91828015690152,0,0,0,0,0,0,0
19,1,10,154.66018519126186,0,0,0,0,0,0,0
20,61,22,204.6450589544184,0,0,0,0,0,0,0
21,25,40,148.17998651522214,0,0,0,0,0,0,0
22,32,11,110.02193467293652,0,0,0,0,0,0,0
23,15,38,157.8055697775666,0,0,0,0,0,0,0
24,64,61,104.90670903105713,0,0,0,0,0,0,0
25,8,36,212.7130195515138,0,0,0,0,0,0,0
26,42,1,129.48682975134545,0,0,0,0,0,0,0
27,46,65,156.96423651141413,0,0,0,0,0,0,0
28,33,42,179.45747687057957,0,0,0,0,0,0,0
29,29,4,148.7180204468217,0,0,0,0,0,0,0
30,3,62,151.41809785920645,0,0,0,0,0,0,0
31,53,57,142.94511976070493,0,0,0,0,0,0,0
32,21,14,211.1199134793526,0,0,0,0,0,0,0
33,51,42,121.5421262306033,0,0,0,0,0,0,0
34,55,10,126.49180495466724,0,0,0,0,0,0,0
35,17,7,100.17812771849717,0,0,0,0,0,0,0
36,28,60,100.03485636636292,0,0,0,0,0,0,0
37,42,18,113.3743178631685,0,0,0,0,0,0,0
38,56,49,191.36318778243594,0,0,0,0,0,0,0
39,21,64,175.41356405710297,0,0,0,0,0,0,0
