tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,3,2,207.43411076078917,0,0,0,0,0,0,0
1,5,1,186.52139246792444,0,0,0,0,0,0,0
2,0,2,136.5271329715481,0,0,0,0,0,0,0
3,2,1,213.2731192706793,0,0,0,0,0,0,0
4,0,2,150.38514827129708,0,0,0,0,0,0,0
5,2,1,147.93866057137697,0,0,0,0,0,0,0
6,1,0,126.53174870035437,0,0,0,0,0,0,0
7,3,5,183.940469147647,0,0,0,0,0,0,0
8,4,1,136.2775070754688,0,0,0,0,0,0,0
9,2,3,144.32864582750582,0,0,0,0,0,0,0
10,4,1,196.93536717180524,0,0,0,0,0,0,0
11,1,2,150.65680787617038,0,0,0,0,0,0,0
12,3,2,174.29046484150302,0,0,0,0,0,0,0
13,4,5,213.91152639166287,0,0,0,0,0,0,0
14,2,5,165.90979693930424,0,0,0,0,0,0,0
15,4,3,120.89937726338215,0,0,0,0,0,0,0
16,1,3,168.97817165313688,0,0,0,0,0,0,0
17,0,1,148.58897173863912,0,0,0,0,0,0,0
18,4,3,200.90885114626315,0,0,0,0,0,0,0
19,0,4,164.35958147677536,0,0,0,0,0,0,0
20,1,0,176.60158383171785,0,0,0,0,0,0,0
21,0,2,128.86109527817706,0,0,0,0,0,0,0
22,3,1,143.99017730609336,0,0,0,0,0,0,0
23,0,2,169.77476247195366,0,0,0,0,0,0,0
24,2,0,227.36293846358734,0,0,0,0,0,0,0
25,4,5,140.73420254602314,0,0,0,0,0,0,0
26,0,2,169.15189961203595,0,0,0,0,0,0,0
27,0,1,118.42693809698372,0,0,0,0,0,0,0
28,3,5,206.47315491352168,0,0,0,0,0,0,0
29,1,2,180.663282719187,0,0,0,0,0,0,0
30,5,1,178.42883526525236,0,0,0,0,0,0,0
31,3,5,117.24227025208158,0,0,0,0,0,0,0
32,0,3,186.90814248783568,0,0,0,0,0,0,0
33,3,2,244.57691838249977,0,0,0,0,0,0,0
34,0,2,137.4447846021794,0,0,0,0,0,0,0
35,4,1,150.42182793974882,0,0,0,0,0,0,0
36,0,3,148.68545862487406,0,0,0,0,0,0,0
37,3,0,119.65399151960135,0,0,0,0,0,0,0
38,0,1,159.70682813225642,0,0,0,0,0,0,0
39,0,1,192.97185629132508,0,0,0,0,0,0,0
40,4,1,127.73043145358193,0,0,0,0,0,0,0
41,3,0,144.2530264120561,0,0,0,0,0,0,0
42,5,0,173.12098552981917,0,0,0,0,0,0,0
43,4,2,226.06204827583653,0,0,0,0,0,0,0
44,3,1,179.5963888702551,0,0,0,0,0,0,0
45,4,3,164.77807659345655,0,0,0,0,0,0,0
46,0,2,230.26166913813594,0,0,0,0,0,0,0
47,5,2,203.2858302728525,0,0,0,0,0,0,0
48,4,1,217.91336784074284,0,0,0,0,0,0,0
49,0,1,113.01112034330276,0,0,0,0,0,0,0
50,0,4,148.8128019845035,0,0,0,0,0,0,0
51,3,1,133.93219365013599,0,0,0,0,0,0,0
52,0,2,161.99369681080248,0,0,0,0,0,0,0
53,2,0,108.35958056201422,0,0,0,0,0,0,0
54,0,5,113.49879898518459,0,0,0,0,0,0,0
55,4,3,233.2994044899528,0,0,0,0,0,0,0
56,3,0,216.84532004411818,0,0,0,0,0,0,0
57,5,4,108.50988391191024,0,0,0,0,0,0,0
58,3,5,170.3877249707881,0,0,0,0,0,0,0
59,0,4,189.0702037834792,0,0,0,0,0,0,0
60,4,2,186.41039109279683,0,0,0,0,0,0,0
61,1,2,178.07899805243565,0,0,0,0,0,0,0
62,2,0,147.40755399710568,0,0,0,0,0,0,0
63,5,3,157.87725710469226,0,0,0,0,0,0,0
64,0,4,148.30401394450752,0,0,0,0,0,0,0
65,5,0,135.95501812933387,0,0,0,0,0,0,0
66,3,1,153.48861211282556,0,0,0,0,0,0,0
67,2,4,198.8264890061131,0,0,0,0,0,0,0
68,0,3,153.34142719410008,0,0,0,0,0,0,0
69,4,1,222.9471501586796,0,0,0,0,0,0,0
70,3,2,169.38689333655367,0,0,0,0,0,0,0
71,5,3,138.1662929110613,0,0,0,0,0,0,0
72,3,4,104.25175158404082,0,0,0,0,0,0,0
73,0,1,105.00219210227169,0,0,0,0,0,0,0
74,3,4,114.25068688605465,0,0,0,0,0,0,0
75,5,3,213.14502627602565,0,0,0,0,0,0,0
76,1,3,195.15781740287525,0,0,0,0,0,0,0
77,5,0,198.2574618314713,0,0,0,0,0,0,0
78,2,4,143.36529771156015,0,0,0,0,0,0,0
79,3,5,239.02962518826095,0,0,0,0,0,0,0
