tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,4,19,169.95137455482453,0,0,0,0,0,0,0
1,13,38,117.32269787238171,0,0,0,0,0,0,0
2,37,29,189.459006414484,0,0,0,0,0,0,0
3,38,7,117.32739731178248,0,0,0,0,0,0,0
4,10,9,148.37478429791184,0,0,0,0,0,0,0
5,29,9,166.86873843492606,0,0,0,0,0,0,0
6,24,37,195.6206757831253,0,0,0,0,0,0,0
7,33,18,186.88149776982908,0,0,0,0,0,0,0
8,11,23,142.0141173733307,0,0,0,0,0,0,0
9,27,31,150.19459384187726,0,0,0,0,0,0,0
10,1,7,224.85706399665122,0,0,0,0,0,0,0
11,11,1,181.74467685516075,0,0,0,0,0,0,0
12,30,13,201.83389563275307,0,0,0,0,0,0,0
13,12,38,204.55717904908948,0,0,0,0,0,0,0
14,19,41,169.8043262561895,0,0,0,0,0,0,0
15,7,24,175.96442844502377,0,0,0,0,0,0,0
16,33,26,131.53267482043603,0,0,0,0,0,0,0
17,5,0,197.9368322954931,0,0,0,0,0,0,0
18,19,22,158.4623032233383,0,0,0,0,0,0,0
19,13,38,237.76187309412668,0,0,0,0,0,0,0
20,25,24,238.83456823757294,0,0,0,0,0,0,0
21,19,2,108.27276246217303,0,0,0,0,0,0,0
22,26,13,147.65809030697892,0,0,0,0,0,0,0
23,30,16,196.52534785134077,0,0,0,0,0,0,0
24,19,36,153.428085230428,0,0,0,0,0,0,0
25,14,36,101.91731125830447,0,0,0,0,0,0,0
26,39,5,184.98641381459646,0,0,0,0,0,0,0
27,30,24,141.29299579424048,0,0,0,0,0,0,0
28,19,31,166.29499140473257,0,0,0,0,0,0,0
29,0,28,183.2935308128678,0,0,0,0,0,0,0
30,10,4,138.9012841432123,0,0,0,0,0,0,0
31,16,38,170.04645816987534,0,0,0,0,0,0,0
32,32,15,198.6434100705315,0,0,0,0,0,0,0
33,41,42,148.25871655177022,0,0,0,0,0,0,0
34,20,13,156.51612272237148,0,0,0,0,0,0,0
35,23,41,133.61412851726388,0,0,0,0,0,0,0
36,20,23,148.5048261607178,0,0,0,0,0,0,0
37,24,28,113.70871282466695,0,0,0,0,0,0,0
38,17,34,158.34418559398424,0,0,0,0,0,0,0
39,35,16,159.45135837694517,0,0,0,0,0,0,0
