LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,1,1697,0,0,0,0,0
1,1,32,1338,0,0,0,0,0
2,1,38,1036,0,0,0,0,0
3,1,39,1923,0,0,0,0,0
4,1,24,1976,0,0,0,0,0
5,1,30,1233,0,0,0,0,0
6,2,39,1443,0,0,0,0,0
7,3,39,1790,0,0,0,0,0
8,4,39,1438,0,0,0,0,0
9,5,33,1464,0,0,0,0,0
10,6,39,1401,0,0,0,0,0
11,7,39,1667,0,0,0,0,0
12,8,33,1064,0,0,0,0,0
13,9,33,1526,0,0,0,0,0
14,10,26,1132,0,0,0,0,0
15,11,32,1446,0,0,0,0,0
16,12,32,1268,0,0,0,0,0
17,13,32,1942,0,0,0,0,0
18,14,32,1899,0,0,0,0,0
19,15,26,1341,0,0,0,0,0
20,16,26,1884,0,0,0,0,0
21,17,26,1732,0,0,0,0,0
22,18,26,1311,0,0,0,0,0
23,19,26,1606,0,0,0,0,0
24,20,32,1709,0,0,0,0,0
25,21,26,1824,0,0,0,0,0
26,22,26,1507,0,0,0,0,0
27,23,32,1066,0,0,0,0,0
28,25,32,1619,0,0,0,0,0
29,26,32,1888,0,0,0,0,0
30,26,33,1285,0,0,0,0,0
31,26,27,1657,0,0,0,0,0
32,26,28,1105,0,0,0,0,0
33,26,31,1272,0,0,0,0,0
34,29,32,1131,0,0,0,0,0
35,32,40,1915,0,0,0,0,0
36,33,34,1184,0,0,0,0,0
37,33,39,1851,0,0,0,0,0
38,33,42,1584,0,0,0,0,0
39,33,41,1043,0,0,0,0,0
40,35,39,1050,0,0,0,0,0
41,36,39,1288,0,0,0,0,0
42,37,39,1842,0,0,0,0,0
