LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,2,1245,0,0,0,0,0
1,1,4,1156,0,0,0,0,0
2,2,3,1442,0,0,0,0,0
3,2,4,1694,0,0,0,0,0
4,2,5,1247,0,0,0,0,0
5,2,6,1861,0,0,0,0,0
6,2,7,1886,0,0,0,0,0
7,2,9,1169,0,0,0,0,0
8,2,10,1948,0,0,0,0,0
9,2,11,1422,0,0,0,0,0
10,2,12,1492,0,0,0,0,0
11,2,13,1740,0,0,0,0,0
12,2,14,1324,0,0,0,0,0
13,2,15,1543,0,0,0,0,0
14,2,16,1822,0,0,0,0,0
15,2,17,1888,0,0,0,0,0
16,2,18,1062,0,0,0,0,0
17,2,19,1554,0,0,0,0,0
18,4,7,1936,0,0,0,0,0
19,4,10,1615,0,0,0,0,0
20,4,11,1134,0,0,0,0,0
21,4,16,1770,0,0,0,0,0
22,4,17,1379,0,0,0,0,0
23,4,18,1093,0,0,0,0,0
24,4,19,1746,0,0,0,0,0
25,5,17,1006,0,0,0,0,0
26,8,17,1205,0,0,0,0,0
