tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,12,16,156.75831476747436,0,0,0,0,0,0,0
1,1,10,149.47969936887006,0,0,0,0,0,0,0
2,1,4,214.97367129750336,0,0,0,0,0,0,0
3,0,8,167.59545141640174,0,0,0,0,0,0,0
4,14,4,159.8743967214694,0,0,0,0,0,0,0
5,14,4,125.16166372066932,0,0,0,0,0,0,0
6,13,12,195.81537107045256,0,0,0,0,0,0,0
7,0,5,201.30865844431446,0,0,0,0,0,0,0
8,10,14,165.42694211260493,0,0,0,0,0,0,0
9,12,16,132.16577565036792,0,0,0,0,0,0,0
10,9,3,141.7401921106553,0,0,0,0,0,0,0
11,3,13,177.91671431601412,0,0,0,0,0,0,0
12,8,3,178.0194013526899,0,0,0,0,0,0,0
13,10,11,189.76242270489908,0,0,0,0,0,0,0
14,9,19,171.14644684049762,0,0,0,0,0,0,0
15,14,16,151.3655058469389,0,0,0,0,0,0,0
16,8,5,190.22600281240102,0,0,0,0,0,0,0
17,17,6,105.59229378940947,0,0,0,0,0,0,0
18,9,17,193.5063391509153,0,0,0,0,0,0,0
19,18,15,192.84355618614248,0,0,0,0,0,0,0
20,19,16,185.89802104796672,0,0,0,0,0,0,0
21,9,8,123.03514731865724,0,0,0,0,0,0,0
22,17,6,198.80896306925996,0,0,0,0,0,0,0
23,7,11,158.64338151053641,0,0,0,0,0,0,0
24,10,9,209.02281082440305,0,0,0,0,0,0,0
25,0,3,184.52002252757694,0,0,0,0,0,0,0
26,4,3,116.30396422725136,0,0,0,0,0,0,0
27,4,6,196.30902488185512,0,0,0,0,0,0,0
28,11,15,134.0911297940652,0,0,0,0,0,0,0
29,17,3,162.4401563346873,0,0,0,0,0,0,0
30,5,13,129.99181108162537,0,0,0,0,0,0,0
31,19,3,156.44021924891433,0,0,0,0,0,0,0
32,16,6,194.3322255128612,0,0,0,0,0,0,0
33,5,13,138.11088368495012,0,0,0,0,0,0,0
34,4,16,217.22863140180397,0,0,0,0,0,0,0
35,1,11,175.11643396913308,0,0,0,0,0,0,0
36,17,11,167.73844982094994,0,0,0,0,0,0,0
37,19,0,128.45372783642716,0,0,0,0,0,0,0
38,12,9,151.98079600673879,0,0,0,0,0,0,0
39,19,14,154.84109088307983,0,0,0,0,0,0,0
40,18,1,118.06039375474217,0,0,0,0,0,0,0
41,7,10,110.17375706999036,0,0,0,0,0,0,0
42,2,0,131.6880141294144,0,0,0,0,0,0,0
43,15,1,128.4651306098048,0,0,0,0,0,0,0
44,12,7,118.633648085285,0,0,0,0,0,0,0
45,19,17,100.97995259244821,0,0,0,0,0,0,0
46,12,10,117.35992553608367,0,0,0,0,0,0,0
47,1,4,114.08361137132442,0,0,0,0,0,0,0
48,8,16,194.50932360540014,0,0,0,0,0,0,0
49,11,13,123.38182954977509,0,0,0,0,0,0,0
50,16,5,116.13562046013692,0,0,0,0,0,0,0
51,8,1,134.4431718485456,0,0,0,0,0,0,0
52,16,9,162.08830955369694,0,0,0,0,0,0,0
53,14,5,218.26582699932973,0,0,0,0,0,0,0
54,17,19,135.1690196865997,0,0,0,0,0,0,0
55,9,13,114.75524002851796,0,0,0,0,0,0,0
56,13,9,206.72888875401753,0,0,0,0,0,0,0
57,1,16,183.84707556470715,0,0,0,0,0,0,0
58,19,10,157.90362893820978,0,0,0,0,0,0,0
59,16,8,130.27827126010968,0,0,0,0,0,0,0
60,14,0,126.20003979865842,0,0,0,0,0,0,0
61,4,17,158.24425460468072,0,0,0,0,0,0,0
62,17,8,220.43847705384428,0,0,0,0,0,0,0
63,0,10,180.84599627715556,0,0,0,0,0,0,0
64,6,3,115.79301415240477,0,0,0,0,0,0,0
65,13,17,202.7735422661239,0,0,0,0,0,0,0
66,15,4,175.21577852835836,0,0,0,0,0,0,0
67,9,7,217.51399185358554,0,0,0,0,0,0,0
68,6,14,151.8144305054528,0,0,0,0,0,0,0
69,0,14,109.78634789387019,0,0,0,0,0,0,0
70,17,12,147.9871389709482,0,0,0,0,0,0,0
71,14,18,200.79972246202766,0,0,0,0,0,0,0
72,13,5,163.18219689474648,0,0,0,0,0,0,0
73,0,18,110.64391742854433,0,0,0,0,0,0,0
74,4,18,213.9503954594663,0,0,0,0,0,0,0
75,4,16,105.31516956347086,0,0,0,0,0,0,0
76,16,13,181.9846177845608,0,0,0,0,0,0,0
77,14,7,196.19575877981256,0,0,0,0,0,0,0
78,3,1,142.84820797538745,0,0,0,0,0,0,0
79,7,9,211.46451263413093,0,0,0,0,0,0,0
