tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,1,3,199.1951791349418,0,0,0,0,0,0,0
1,5,2,224.30467477987673,0,0,0,0,0,0,0
2,4,0,182.55952501963105,0,0,0,0,0,0,0
3,3,2,139.84932399256633,0,0,0,0,0,0,0
4,1,2,100.76558695503874,0,0,0,0,0,0,0
5,0,5,128.61064066517665,0,0,0,0,0,0,0
6,4,5,164.9142291359828,0,0,0,0,0,0,0
7,3,1,157.65978668388217,0,0,0,0,0,0,0
8,1,5,185.1398967666642,0,0,0,0,0,0,0
9,0,1,136.80934514099312,0,0,0,0,0,0,0
10,5,3,126.84733126052411,0,0,0,0,0,0,0
11,4,0,196.28368098755155,0,0,0,0,0,0,0
12,5,0,163.9515553854634,0,0,0,0,0,0,0
13,1,0,108.25873112251833,0,0,0,0,0,0,0
14,3,1,221.91497070670053,0,0,0,0,0,0,0
15,1,2,172.15484971685734,0,0,0,0,0,0,0
16,5,1,172.9444665059358,0,0,0,0,0,0,0
17,1,5,185.62490650153558,0,0,0,0,0,0,0
18,5,4,173.44383931659019,0,0,0,0,0,0,0
19,4,5,122.06324227647127,0,0,0,0,0,0,0
20,5,3,144.56773968804856,0,0,0,0,0,0,0
21,4,1,135.93360533336562,0,0,0,0,0,0,0
22,2,1,148.58801292804333,0,0,0,0,0,0,0
23,0,3,223.1952352077251,0,0,0,0,0,0,0
24,4,5,103.37822762792524,0,0,0,0,0,0,0
25,0,1,238.7949687040314,0,0,0,0,0,0,0
26,3,1,170.82848877682898,0,0,0,0,0,0,0
27,1,4,159.2552869604913,0,0,0,0,0,0,0
28,4,3,184.71358663115154,0,0,0,0,0,0,0
29,0,4,203.35969329107002,0,0,0,0,0,0,0
30,3,1,172.75415800003228,0,0,0,0,0,0,0
31,3,1,227.69453157647735,0,0,0,0,0,0,0
32,5,4,107.11779566777497,0,0,0,0,0,0,0
33,3,1,138.73397164246776,0,0,0,0,0,0,0
34,4,3,126.33781775194458,0,0,0,0,0,0,0
35,1,5,184.26756964214343,0,0,0,0,0,0,0
36,5,0,131.42893305372277,0,0,0,0,0,0,0
37,1,0,195.34665051042032,0,0,0,0,0,0,0
38,2,1,121.99934507421133,0,0,0,0,0,0,0
39,3,5,152.11918432857735,0,0,0,0,0,0,0
40,3,1,135.62225279137795,0,0,0,0,0,0,0
41,5,1,103.73791993038478,0,0,0,0,0,0,0
42,0,4,138.98225971246865,0,0,0,0,0,0,0
43,5,2,101.45250121091021,0,0,0,0,0,0,0
44,4,0,182.448572201312,0,0,0,0,0,0,0
45,2,5,148.5955039103717,0,0,0,0,0,0,0
46,5,3,201.64514631958113,0,0,0,0,0,0,0
47,1,5,107.24724140582002,0,0,0,0,0,0,0
48,3,0,223.37673651997233,0,0,0,0,0,0,0
49,2,3,175.83798201924145,0,0,0,0,0,0,0
50,5,4,148.07543713753165,0,0,0,0,0,0,0
51,1,4,200.6652098487806,0,0,0,0,0,0,0
52,1,3,108.12564993294858,0,0,0,0,0,0,0
53,4,1,232.92752835831098,0,0,0,0,0,0,0
54,3,0,175.377018340265,0,0,0,0,0,0,0
55,3,4,100.75124605984368,0,0,0,0,0,0,0
56,5,3,181.9338014678204,0,0,0,0,0,0,0
57,3,0,142.73146034087898,0,0,0,0,0,0,0
58,1,5,134.9113847425468,0,0,0,0,0,0,0
59,4,1,178.94757327682328,0,0,0,0,0,0,0
60,2,5,140.7245184486648,0,0,0,0,0,0,0
61,0,3,159.1892963676685,0,0,0,0,0,0,0
62,3,1,129.922730016759,0,0,0,0,0,0,0
63,4,3,202.95545983008003,0,0,0,0,0,0,0
64,5,4,178.96897709296826,0,0,0,0,0,0,0
65,1,3,159.04933241007666,0,0,0,0,0,0,0
66,2,0,234.95558777485573,0,0,0,0,0,0,0
67,1,3,198.36973395646785,0,0,0,0,0,0,0
68,3,4,216.27943421851836,0,0,0,0,0,0,0
69,0,4,111.84932041360092,0,0,0,0,0,0,0
70,4,5,190.8341863821168,0,0,0,0,0,0,0
71,0,1,174.48544629669695,0,0,0,0,0,0,0
72,5,2,218.12118432672736,0,0,0,0,0,0,0
73,1,4,126.52971374120575,0,0,0,0,0,0,0
74,2,3,173.12843423505475,0,0,0,0,0,0,0
75,4,5,216.51793437428103,0,0,0,0,0,0,0
76,4,0,145.60972467611253,0,0,0,0,0,0,0
77,4,1,211.5003224967861,0,0,0,0,0,0,0
78,2,4,216.23594203067327,0,0,0,0,0,0,0
79,1,2,162.61500518275363,0,0,0,0,0,0,0
