tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,5,3,199.9014472782679,0,0,0,0,0,0,0
1,6,1,131.43181111556285,0,0,0,0,0,0,0
2,4,1,166.6608740329205,0,0,0,0,0,0,0
3,0,6,151.8951409614266,0,0,0,0,0,0,0
4,6,0,186.54625552349324,0,0,0,0,0,0,0
5,6,5,147.39242482733306,0,0,0,0,0,0,0
6,3,5,138.46287642430647,0,0,0,0,0,0,0
7,4,3,137.75312268757506,0,0,0,0,0,0,0
8,0,2,196.62592662219367,0,0,0,0,0,0,0
9,6,0,202.52024575980982,0,0,0,0,0,0,0
10,6,4,187.85406598615785,0,0,0,0,0,0,0
11,3,0,192.2932205553864,0,0,0,0,0,0,0
12,4,6,120.49375726026584,0,0,0,0,0,0,0
13,0,2,170.02064599040148,0,0,0,0,0,0,0
14,2,6,173.21990379009063,0,0,0,0,0,0,0
15,6,4,159.08346535988375,0,0,0,0,0,0,0
16,1,6,108.97483030070094,0,0,0,0,0,0,0
17,0,1,136.82616115320062,0,0,0,0,0,0,0
18,1,0,146.4042653169582,0,0,0,0,0,0,0
19,4,5,196.19581862852712,0,0,0,0,0,0,0
20,2,1,199.69844341477165,0,0,0,0,0,0,0
21,2,0,153.31589204819403,0,0,0,0,0,0,0
22,1,3,162.76297888399182,0,0,0,0,0,0,0
23,1,6,142.78013949054815,0,0,0,0,0,0,0
24,0,5,141.96360487383888,0,0,0,0,0,0,0
25,0,1,144.1205014165114,0,0,0,0,0,0,0
26,3,0,144.82177852912434,0,0,0,0,0,0,0
27,6,5,162.90135179991202,0,0,0,0,0,0,0
28,5,3,109.29709062521168,0,0,0,0,0,0,0
29,3,6,149.73634445517004,0,0,0,0,0,0,0
30,6,3,133.6299392027581,0,0,0,0,0,0,0
31,0,4,108.0591992304585,0,0,0,0,0,0,0
32,1,4,177.26779677538644,0,0,0,0,0,0,0
33,5,1,119.43353085642654,0,0,0,0,0,0,0
34,0,2,105.22352220761074,0,0,0,0,0,0,0
35,5,6,111.47378779645145,0,0,0,0,0,0,0
36,6,2,150.50671121706938,0,0,0,0,0,0,0
37,6,1,108.03526787701504,0,0,0,0,0,0,0
38,6,5,209.76365262500732,0,0,0,0,0,0,0
39,5,4,192.5301531425583,0,0,0,0,0,0,0
40,5,1,201.7314557582242,0,0,0,0,0,0,0
41,4,5,204.32141258134442,0,0,0,0,0,0,0
42,0,6,212.0082430350061,0,0,0,0,0,0,0
43,5,4,159.6030538324772,0,0,0,0,0,0,0
44,2,6,151.8053078298169,0,0,0,0,0,0,0
45,6,0,204.07613262454163,0,0,0,0,0,0,0
46,2,6,168.07644498962867,0,0,0,0,0,0,0
47,3,1,129.30629057566128,0,0,0,0,0,0,0
48,1,4,114.61573254157521,0,0,0,0,0,0,0
49,0,5,128.93831780318737,0,0,0,0,0,0,0
50,4,0,225.79897617314796,0,0,0,0,0,0,0
51,1,3,221.5790005328169,0,0,0,0,0,0,0
52,0,6,165.06608059362483,0,0,0,0,0,0,0
53,4,5,241.9286693706294,0,0,0,0,0,0,0
54,3,5,161.8175761877417,0,0,0,0,0,0,0
55,2,3,214.17873937305035,0,0,0,0,0,0,0
56,3,0,189.70355365274958,0,0,0,0,0,0,0
57,0,6,201.6948994130878,0,0,0,0,0,0,0
58,1,4,119.47171390361311,0,0,0,0,0,0,0
59,6,3,105.60449692986731,0,0,0,0,0,0,0
60,2,0,185.48985021011694,0,0,0,0,0,0,0
61,2,6,187.07444435134437,0,0,0,0,0,0,0
62,6,5,105.0728608979209,0,0,0,0,0,0,0
63,1,2,117.36836858260394,0,0,0,0,0,0,0
64,5,3,115.94696447902066,0,0,0,0,0,0,0
65,2,1,227.71212741757967,0,0,0,0,0,0,0
66,3,5,182.963589002894,0,0,0,0,0,0,0
67,0,3,127.82205731554023,0,0,0,0,0,0,0
68,1,0,167.80644955953204,0,0,0,0,0,0,0
69,5,4,175.4654990081532,0,0,0,0,0,0,0
70,2,6,116.14637665535884,0,0,0,0,0,0,0
71,0,2,109.86437098350152,0,0,0,0,0,0,0
72,2,0,137.93429911769385,0,0,0,0,0,0,0
73,5,1,195.3183337589159,0,0,0,0,0,0,0
74,6,3,154.26993890716994,0,0,0,0,0,0,0
75,0,1,193.08897640973882,0,0,0,0,0,0,0
76,1,2,182.5175640543315,0,0,0,0,0,0,0
77,2,3,211.91240765866658,0,0,0,0,0,0,0
78,3,6,124.30984159747135,0,0,0,0,0,0,0
79,1,5,155.27680809974754,0,0,0,0,0,0,0
