LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,1,1679,0,0,0,0,0
1,0,3,1157,0,0,0,0,0
2,0,7,1065,0,0,0,0,0
3,1,6,1590,0,0,0,0,0
4,2,26,1077,0,0,0,0,0
5,2,7,1380,0,0,0,0,0
6,3,26,1795,0,0,0,0,0
7,4,5,1468,0,0,0,0,0
8,4,7,1106,0,0,0,0,0
9,5,17,1670,0,0,0,0,0
10,5,6,1722,0,0,0,0,0
11,5,23,1496,0,0,0,0,0
12,7,25,1173,0,0,0,0,0
13,8,9,1127,0,0,0,0,0
14,8,18,1926,0,0,0,0,0
15,9,14,1599,0,0,0,0,0
16,10,11,1961,0,0,0,0,0
17,10,15,1950,0,0,0,0,0
18,11,12,1681,0,0,0,0,0
19,12,13,1793,0,0,0,0,0
20,13,27,1035,0,0,0,0,0
21,14,20,1152,0,0,0,0,0
22,15,16,1830,0,0,0,0,0
23,16,21,1858,0,0,0,0,0
24,17,18,1376,0,0,0,0,0
25,19,24,1179,0,0,0,0,0
26,20,30,1506,0,0,0,0,0
27,21,22,1718,0,0,0,0,0
28,22,23,1922,0,0,0,0,0
29,23,24,1145,0,0,0,0,0
30,25,30,1170,0,0,0,0,0
31,27,28,1456,0,0,0,0,0
32,28,29,1667,0,0,0,0,0
33,29,30,1038,0,0,0,0,0
34,30,34,1359,0,0,0,0,0
35,30,31,1644,0,0,0,0,0
36,31,32,1022,0,0,0,0,0
37,32,33,1916,0,0,0,0,0
38,33,34,1393,0,0,0,0,0
