LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,32,1308,0,0,0,0,0
1,0,1,1146,0,0,0,0,0
2,0,3,1385,0,0,0,0,0
3,0,7,1713,0,0,0,0,0
4,2,4,1714,0,0,0,0,0
5,4,32,1588,0,0,0,0,0
6,4,5,1827,0,0,0,0,0
7,5,8,1408,0,0,0,0,0
8,6,7,1130,0,0,0,0,0
9,7,32,1195,0,0,0,0,0
10,7,19,1823,0,0,0,0,0
11,8,9,1445,0,0,0,0,0
12,9,21,1210,0,0,0,0,0
13,10,11,1386,0,0,0,0,0
14,11,32,1875,0,0,0,0,0
15,11,27,1442,0,0,0,0,0
16,11,12,1485,0,0,0,0,0
17,13,16,1592,0,0,0,0,0
18,13,14,1044,0,0,0,0,0
19,14,15,1495,0,0,0,0,0
20,15,27,1942,0,0,0,0,0
21,16,23,1136,0,0,0,0,0
22,17,23,1999,0,0,0,0,0
23,18,25,1084,0,0,0,0,0
24,18,19,1312,0,0,0,0,0
25,19,20,1915,0,0,0,0,0
26,21,32,1746,0,0,0,0,0
27,22,23,1305,0,0,0,0,0
28,23,32,1038,0,0,0,0,0
29,23,25,1588,0,0,0,0,0
30,24,25,1687,0,0,0,0,0
31,25,32,1202,0,0,0,0,0
32,26,35,1921,0,0,0,0,0
33,27,35,1009,0,0,0,0,0
34,28,32,1764,0,0,0,0,0
35,29,32,1439,0,0,0,0,0
36,30,32,1790,0,0,0,0,0
37,31,32,1257,0,0,0,0,0
38,32,33,1571,0,0,0,0,0
39,32,34,1731,0,0,0,0,0
40,32,35,1321,0,0,0,0,0
