tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,22,14,135.37801003437107,0,0,0,0,0,0,0
1,24,3,179.24276923301875,0,0,0,0,0,0,0
2,23,5,181.60547782557413,0,0,0,0,0,0,0
3,15,13,140.1749833236945,0,0,0,0,0,0,0
4,25,7,218.33269796720202,0,0,0,0,0,0,0
5,16,3,161.99189158400517,0,0,0,0,0,0,0
6,32,31,163.8466349431656,0,0,0,0,0,0,0
7,2,16,137.66715938097752,0,0,0,0,0,0,0
8,11,8,179.61106039941546,0,0,0,0,0,0,0
9,5,10,133.4446514944438,0,0,0,0,0,0,0
10,27,26,220.7941376862095,0,0,0,0,0,0,0
11,23,21,123.23963669225256,0,0,0,0,0,0,0
12,19,35,142.80257418631953,0,0,0,0,0,0,0
13,1,3,172.19525372451915,0,0,0,0,0,0,0
14,13,6,152.24955653911655,0,0,0,0,0,0,0
15,25,16,153.7841115143209,0,0,0,0,0,0,0
16,31,18,168.4406173574236,0,0,0,0,0,0,0
17,32,13,211.830295049153,0,0,0,0,0,0,0
18,11,5,150.6687059413248,0,0,0,0,0,0,0
19,25,30,102.98928619473728,0,0,0,0,0,0,0
20,14,23,168.7790863005431,0,0,0,0,0,0,0
21,23,16,178.19422258575867,0,0,0,0,0,0,0
22,16,0,113.54061201865636,0,0,0,0,0,0,0
23,26,4,176.40620375025213,0,0,0,0,0,0,0
24,21,7,196.1329809192161,0,0,0,0,0,0,0
25,1,19,147.6278773773367,0,0,0,0,0,0,0
26,13,20,192.23346998321966,0,0,0,0,0,0,0
27,20,30,175.91537425733316,0,0,0,0,0,0,0
28,33,35,203.49885214040034,0,0,0,0,0,0,0
29,18,14,125.04571234929296,0,0,0,0,0,0,0
30,11,9,194.38116351511195,0,0,0,0,0,0,0
31,18,0,157.5607524077357,0,0,0,0,0,0,0
32,10,17,131.87313439515674,0,0,0,0,0,0,0
33,1,31,209.68865868467873,0,0,0,0,0,0,0
34,21,1,170.31089048789414,0,0,0,0,0,0,0
35,0,14,104.73816167256686,0,0,0,0,0,0,0
36,7,31,222.82906241987428,0,0,0,0,0,0,0
37,25,22,207.6844181673335,0,0,0,0,0,0,0
38,32,15,168.71797455868312,0,0,0,0,0,0,0
39,9,5,171.94774511076236,0,0,0,0,0,0,0
40,22,30,140.10393175673215,0,0,0,0,0,0,0
41,20,12,112.54193945693984,0,0,0,0,0,0,0
42,31,3,115.37261746677812,0,0,0,0,0,0,0
43,1,23,126.63926102386768,0,0,0,0,0,0,0
44,33,14,167.10223557077236,0,0,0,0,0,0,0
45,1,5,146.92399337224134,0,0,0,0,0,0,0
46,0,9,170.82418871362296,0,0,0,0,0,0,0
47,31,24,183.2437603420684,0,0,0,0,0,0,0
48,23,19,140.28874878790546,0,0,0,0,0,0,0
49,13,9,180.68160882326265,0,0,0,0,0,0,0
50,23,5,181.00547792959844,0,0,0,0,0,0,0
51,28,32,165.45440142687295,0,0,0,0,0,0,0
52,15,28,167.29370708997044,0,0,0,0,0,0,0
53,21,12,185.45802369234852,0,0,0,0,0,0,0
54,4,25,141.7604044746174,0,0,0,0,0,0,0
55,32,1,188.41932577786736,0,0,0,0,0,0,0
56,6,17,183.7477281905182,0,0,0,0,0,0,0
57,16,32,239.21466247314166,0,0,0,0,0,0,0
58,18,8,196.20718088597982,0,0,0,0,0,0,0
59,23,25,120.19972235773307,0,0,0,0,0,0,0
60,21,25,157.91803945770607,0,0,0,0,0,0,0
61,7,8,108.89280458503023,0,0,0,0,0,0,0
62,5,25,207.34953244413862,0,0,0,0,0,0,0
63,17,31,161.08040917381786,0,0,0,0,0,0,0
64,1,9,176.93075345516917,0,0,0,0,0,0,0
65,0,23,125.05537596217137,0,0,0,0,0,0,0
66,19,31,101.92383294539297,0,0,0,0,0,0,0
67,2,14,205.96858818108285,0,0,0,0,0,0,0
68,25,2,115.0159058133203,0,0,0,0,0,0,0
69,27,19,199.96516457163335,0,0,0,0,0,0,0
70,2,1,184.54994548129707,0,0,0,0,0,0,0
71,13,9,209.92259222034028,0,0,0,0,0,0,0
72,15,24,224.887080962863,0,0,0,0,0,0,0
73,8,4,131.06452577223683,0,0,0,0,0,0,0
74,27,28,202.19605144152064,0,0,0,0,0,0,0
75,3,30,180.83290775872143,0,0,0,0,0,0,0
76,33,17,197.18992261244222,0,0,0,0,0,0,0
77,4,11,149.08101521111956,0,0,0,0,0,0,0
78,33,30,108.63971055687061,0,0,0,0,0,0,0
79,22,1,206.06238956701054,0,0,0,0,0,0,0
