LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,1,1191,0,0,0,0,0
1,0,2,1919,0,0,0,0,0
2,0,3,1246,0,0,0,0,0
3,0,6,1408,0,0,0,0,0
4,2,10,1609,0,0,0,0,0
5,2,15,1136,0,0,0,0,0
6,3,9,1655,0,0,0,0,0
7,4,8,1400,0,0,0,0,0
8,4,5,1903,0,0,0,0,0
9,5,8,1254,0,0,0,0,0
10,5,9,1273,0,0,0,0,0
11,6,7,1210,0,0,0,0,0
12,8,9,1801,0,0,0,0,0
13,8,18,1969,0,0,0,0,0
14,9,10,1623,0,0,0,0,0
15,9,15,1325,0,0,0,0,0
16,11,12,1812,0,0,0,0,0
17,11,15,1728,0,0,0,0,0
18,12,13,1689,0,0,0,0,0
19,13,14,1786,0,0,0,0,0
20,14,15,1026,0,0,0,0,0
21,15,16,1921,0,0,0,0,0
22,15,18,1633,0,0,0,0,0
23,16,17,1206,0,0,0,0,0
24,17,18,1354,0,0,0,0,0
