tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,6,15,165.4325201429544,0,0,0,0,0,0,0
1,15,0,198.92146271714796,0,0,0,0,0,0,0
2,15,14,123.08810850825296,0,0,0,0,0,0,0
3,5,8,160.72045818317443,0,0,0,0,0,0,0
4,3,18,126.02680898716804,0,0,0,0,0,0,0
5,9,14,115.75052219023735,0,0,0,0,0,0,0
6,3,7,137.99642626745558,0,0,0,0,0,0,0
7,1,2,102.51192261162605,0,0,0,0,0,0,0
8,15,2,206.40926872903896,0,0,0,0,0,0,0
9,10,16,156.2067080451234,0,0,0,0,0,0,0
10,8,6,162.18690793298293,0,0,0,0,0,0,0
11,18,3,139.77263794296107,0,0,0,0,0,0,0
12,9,5,159.7872830867155,0,0,0,0,0,0,0
13,12,13,105.82842693476418,0,0,0,0,0,0,0
14,0,12,207.2964041091773,0,0,0,0,0,0,0
15,16,15,225.82925113642852,0,0,0,0,0,0,0
16,2,15,119.58207026767654,0,0,0,0,0,0,0
17,1,7,227.261293590941,0,0,0,0,0,0,0
18,15,5,143.80512444708663,0,0,0,0,0,0,0
19,15,0,234.2439167314277,0,0,0,0,0,0,0
20,4,16,155.35600551665024,0,0,0,0,0,0,0
21,9,7,156.81303680684346,0,0,0,0,0,0,0
22,11,14,216.9904632750637,0,0,0,0,0,0,0
23,3,9,189.61226486185467,0,0,0,0,0,0,0
24,16,3,197.2434021175818,0,0,0,0,0,0,0
25,7,3,179.19924809926493,0,0,0,0,0,0,0
26,4,0,241.2048163302824,0,0,0,0,0,0,0
27,3,9,142.51771919857845,0,0,0,0,0,0,0
28,8,7,207.42667902336842,0,0,0,0,0,0,0
29,12,18,109.71550866341947,0,0,0,0,0,0,0
30,0,1,171.43082937803234,0,0,0,0,0,0,0
31,11,9,135.6819345788926,0,0,0,0,0,0,0
32,18,13,134.20456761128318,0,0,0,0,0,0,0
33,1,6,199.7219386034776,0,0,0,0,0,0,0
34,2,3,136.74248730605777,0,0,0,0,0,0,0
35,16,3,219.17187620877593,0,0,0,0,0,0,0
36,11,6,105.99575144787913,0,0,0,0,0,0,0
37,16,0,104.1517928924933,0,0,0,0,0,0,0
38,15,9,183.53432839320192,0,0,0,0,0,0,0
39,2,0,111.86600286632657,0,0,0,0,0,0,0
40,0,9,215.18298443047613,0,0,0,0,0,0,0
41,5,12,160.879418477114,0,0,0,0,0,0,0
42,13,11,196.67023052247907,0,0,0,0,0,0,0
43,18,13,191.55637516794206,0,0,0,0,0,0,0
44,3,11,144.9669088933944,0,0,0,0,0,0,0
45,12,18,209.6513817973315,0,0,0,0,0,0,0
46,17,5,121.5972014510409,0,0,0,0,0,0,0
47,2,6,128.2385151391889,0,0,0,0,0,0,0
48,8,9,169.8572890162976,0,0,0,0,0,0,0
49,18,16,104.77801451469065,0,0,0,0,0,0,0
50,1,11,175.1104579411675,0,0,0,0,0,0,0
51,10,14,192.31748873568682,0,0,0,0,0,0,0
52,18,12,113.64066358489585,0,0,0,0,0,0,0
53,1,6,202.3301392581223,0,0,0,0,0,0,0
54,3,10,107.09240069093276,0,0,0,0,0,0,0
55,13,12,134.5466318784868,0,0,0,0,0,0,0
56,1,0,131.46601904738608,0,0,0,0,0,0,0
57,2,1,123.5058995261623,0,0,0,0,0,0,0
58,6,1,108.62768780459032,0,0,0,0,0,0,0
59,13,4,155.01322953515879,0,0,0,0,0,0,0
60,7,8,147.85320164630133,0,0,0,0,0,0,0
61,18,6,216.83897072520796,0,0,0,0,0,0,0
62,1,8,137.6029106253751,0,0,0,0,0,0,0
63,14,1,219.49751607199957,0,0,0,0,0,0,0
64,1,15,101.35622740609092,0,0,0,0,0,0,0
65,16,3,151.0727689671442,0,0,0,0,0,0,0
66,6,12,180.3615076553328,0,0,0,0,0,0,0
67,16,4,164.5519872428386,0,0,0,0,0,0,0
68,4,18,196.79861018255997,0,0,0,0,0,0,0
69,0,9,194.32309456732278,0,0,0,0,0,0,0
70,8,17,186.8312959440961,0,0,0,0,0,0,0
71,11,6,140.1793491825517,0,0,0,0,0,0,0
72,14,16,103.50108866989193,0,0,0,0,0,0,0
73,15,11,116.17712977610894,0,0,0,0,0,0,0
74,4,7,162.17550082819326,0,0,0,0,0,0,0
75,7,18,196.83688062740924,0,0,0,0,0,0,0
76,5,1,129.82957496284726,0,0,0,0,0,0,0
77,18,5,139.09474702950047,0,0,0,0,0,0,0
78,10,9,197.75366987566775,0,0,0,0,0,0,0
79,9,0,125.54801378428746,0,0,0,0,0,0,0
