tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,2,3,133.61636497301535,0,0,0,0,0,0,0
1,5,3,137.16031955101383,0,0,0,0,0,0,0
2,1,6,189.75701998242744,0,0,0,0,0,0,0
3,2,5,198.4447678919246,0,0,0,0,0,0,0
4,3,1,192.21590018051512,0,0,0,0,0,0,0
5,3,6,142.24140052329724,0,0,0,0,0,0,0
6,1,6,168.8328212760552,0,0,0,0,0,0,0
7,4,3,136.16991602222978,0,0,0,0,0,0,0
8,5,1,161.2135756181676,0,0,0,0,0,0,0
9,6,1,198.74292275700765,0,0,0,0,0,0,0
10,0,3,160.62036919791046,0,0,0,0,0,0,0
11,1,6,143.1672474482303,0,0,0,0,0,0,0
12,3,5,183.06191504839387,0,0,0,0,0,0,0
13,4,6,114.38959700365851,0,0,0,0,0,0,0
14,5,1,150.6697439599933,0,0,0,0,0,0,0
15,5,4,192.81728662781381,0,0,0,0,0,0,0
16,2,3,146.9376222101325,0,0,0,0,0,0,0
17,0,3,207.4034487623537,0,0,0,0,0,0,0
18,2,3,127.75580087675601,0,0,0,0,0,0,0
19,0,4,170.2855986857523,0,0,0,0,0,0,0
20,3,4,102.8615821869435,0,0,0,0,0,0,0
21,3,6,186.02566775748426,0,0,0,0,0,0,0
22,3,0,196.63661181492608,0,0,0,0,0,0,0
23,3,1,169.68586755868867,0,0,0,0,0,0,0
24,6,5,139.01961682654888,0,0,0,0,0,0,0
25,3,5,189.76953217321636,0,0,0,0,0,0,0
26,0,4,147.75010674297914,0,0,0,0,0,0,0
27,3,2,136.7019550410401,0,0,0,0,0,0,0
28,4,3,217.6935995550631,0,0,0,0,0,0,0
29,0,5,146.93116430407306,0,0,0,0,0,0,0
30,5,3,100.41971059883078,0,0,0,0,0,0,0
31,0,4,108.28766021055122,0,0,0,0,0,0,0
32,3,6,154.91514782030725,0,0,0,0,0,0,0
33,1,5,157.2516401019376,0,0,0,0,0,0,0
34,1,0,240.7438272565578,0,0,0,0,0,0,0
35,2,6,139.72258744501647,0,0,0,0,0,0,0
36,6,0,132.43771677638898,0,0,0,0,0,0,0
37,5,6,206.64159420008866,0,0,0,0,0,0,0
38,0,1,138.36984135858708,0,0,0,0,0,0,0
39,4,2,199.1223429506403,0,0,0,0,0,0,0
40,5,4,204.81471134525623,0,0,0,0,0,0,0
41,2,1,209.00103074107884,0,0,0,0,0,0,0
42,4,1,153.12563288647553,0,0,0,0,0,0,0
43,5,3,119.2355947927079,0,0,0,0,0,0,0
44,5,3,162.98466348620389,0,0,0,0,0,0,0
45,2,5,201.5880683011873,0,0,0,0,0,0,0
46,5,1,138.57477620059416,0,0,0,0,0,0,0
47,3,1,113.71534704535138,0,0,0,0,0,0,0
48,5,3,157.18778077499778,0,0,0,0,0,0,0
49,2,3,106.71313165789924,0,0,0,0,0,0,0
50,1,4,198.70731833505107,0,0,0,0,0,0,0
51,0,4,129.40635147565897,0,0,0,0,0,0,0
52,3,2,207.4789014273721,0,0,0,0,0,0,0
53,2,6,208.13776741147495,0,0,0,0,0,0,0
54,1,6,197.23481052933334,0,0,0,0,0,0,0
55,0,3,115.35052932601317,0,0,0,0,0,0,0
56,6,3,207.36316962804642,0,0,0,0,0,0,0
57,1,4,150.48191209899636,0,0,0,0,0,0,0
58,6,2,229.3840533798105,0,0,0,0,0,0,0
59,4,2,102.33115192111927,0,0,0,0,0,0,0
60,1,4,153.70495987945793,0,0,0,0,0,0,0
61,3,0,173.54824794320388,0,0,0,0,0,0,0
62,2,1,123.8928795060005,0,0,0,0,0,0,0
63,3,2,145.91142099530938,0,0,0,0,0,0,0
64,3,4,202.04378865359976,0,0,0,0,0,0,0
65,4,1,128.0196051235067,0,0,0,0,0,0,0
66,2,4,159.38905030415432,0,0,0,0,0,0,0
67,5,0,184.8140316320704,0,0,0,0,0,0,0
68,4,2,242.5185172913286,0,0,0,0,0,0,0
69,4,5,168.35403663563523,0,0,0,0,0,0,0
70,2,3,102.27413457076445,0,0,0,0,0,0,0
71,4,3,110.73841964623291,0,0,0,0,0,0,0
72,4,2,136.95380997701767,0,0,0,0,0,0,0
73,0,3,171.5101055761834,0,0,0,0,0,0,0
74,1,0,171.15718196031276,0,0,0,0,0,0,0
75,4,3,135.23716345385,0,0,0,0,0,0,0
76,0,3,127.07573120476926,0,0,0,0,0,0,0
77,3,5,109.69131118739685,0,0,0,0,0,0,0
78,2,1,198.42334239026903,0,0,0,0,0,0,0
79,2,5,230.90768875520087,0,0,0,0,0,0,0
