tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,4,8,162.02087090277155,0,0,0,0,0,0,0
1,9,4,127.89242860782056,0,0,0,0,0,0,0
2,11,12,176.2535439166357,0,0,0,0,0,0,0
3,5,7,201.35711680075033,0,0,0,0,0,0,0
4,11,7,191.1787126150178,0,0,0,0,0,0,0
5,6,11,123.51120353547327,0,0,0,0,0,0,0
6,1,4,149.09893598331664,0,0,0,0,0,0,0
7,12,4,100.90659785166201,0,0,0,0,0,0,0
8,10,2,188.59140999042586,0,0,0,0,0,0,0
9,4,9,113.60800404975097,0,0,0,0,0,0,0
10,6,10,198.43862117033382,0,0,0,0,0,0,0
11,8,0,193.06509282977248,0,0,0,0,0,0,0
12,3,2,100.93345754536567,0,0,0,0,0,0,0
13,2,3,223.19589476972786,0,0,0,0,0,0,0
14,8,6,134.58456918233054,0,0,0,0,0,0,0
15,3,1,178.65988523230988,0,0,0,0,0,0,0
16,5,12,168.9573320225174,0,0,0,0,0,0,0
17,3,9,187.31686401882092,0,0,0,0,0,0,0
18,1,4,144.99766570464433,0,0,0,0,0,0,0
19,5,4,201.94976786275913,0,0,0,0,0,0,0
20,2,1,118.77884892753454,0,0,0,0,0,0,0
21,3,8,189.34034881647403,0,0,0,0,0,0,0
22,6,0,181.71980194810317,0,0,0,0,0,0,0
23,9,5,142.04005733720092,0,0,0,0,0,0,0
24,4,0,232.91344581786296,0,0,0,0,0,0,0
25,1,0,135.8130186776648,0,0,0,0,0,0,0
26,2,10,134.13671124673496,0,0,0,0,0,0,0
27,0,1,170.35361231342523,0,0,0,0,0,0,0
28,8,12,186.74761418993984,0,0,0,0,0,0,0
29,9,2,130.206479018514,0,0,0,0,0,0,0
30,11,8,153.67921332447912,0,0,0,0,0,0,0
31,4,7,201.58680678271293,0,0,0,0,0,0,0
32,8,5,154.82296102854394,0,0,0,0,0,0,0
33,8,9,154.9941094061899,0,0,0,0,0,0,0
34,6,0,116.13109582258859,0,0,0,0,0,0,0
35,9,6,196.40970045744228,0,0,0,0,0,0,0
36,12,6,213.1720342198376,0,0,0,0,0,0,0
37,6,12,195.5127469905282,0,0,0,0,0,0,0
38,5,0,184.9829179981797,0,0,0,0,0,0,0
39,2,12,106.01827634829026,0,0,0,0,0,0,0
40,11,1,120.85293913485584,0,0,0,0,0,0,0
41,12,4,162.2517955442908,0,0,0,0,0,0,0
42,9,4,197.28387217031593,0,0,0,0,0,0,0
43,3,11,113.9863072323459,0,0,0,0,0,0,0
44,11,8,105.03870663644415,0,0,0,0,0,0,0
45,12,10,162.84114442004656,0,0,0,0,0,0,0
46,10,3,188.2860748564637,0,0,0,0,0,0,0
47,7,11,152.97788575578065,0,0,0,0,0,0,0
48,10,6,141.51445560348708,0,0,0,0,0,0,0
49,5,7,185.49718015673784,0,0,0,0,0,0,0
50,10,2,109.33930920673204,0,0,0,0,0,0,0
51,7,3,213.93110938285656,0,0,0,0,0,0,0
52,6,11,179.7475585896387,0,0,0,0,0,0,0
53,8,10,105.24354937298854,0,0,0,0,0,0,0
54,7,5,148.9384488619399,0,0,0,0,0,0,0
55,3,12,156.9501393174523,0,0,0,0,0,0,0
56,2,6,178.71121713918873,0,0,0,0,0,0,0
57,0,4,157.5745129369958,0,0,0,0,0,0,0
58,7,0,178.0996747585354,0,0,0,0,0,0,0
59,5,11,123.9993239553107,0,0,0,0,0,0,0
60,6,12,113.68363005792801,0,0,0,0,0,0,0
61,7,0,104.95206271235395,0,0,0,0,0,0,0
62,5,3,168.8777398667994,0,0,0,0,0,0,0
63,4,12,194.89939072351962,0,0,0,0,0,0,0
64,6,1,110.5813632897419,0,0,0,0,0,0,0
65,3,1,123.19088273925841,0,0,0,0,0,0,0
66,2,10,183.023010852208,0,0,0,0,0,0,0
67,2,10,189.2136762803304,0,0,0,0,0,0,0
68,11,7,200.36456044178158,0,0,0,0,0,0,0
69,6,0,205.15304457069743,0,0,0,0,0,0,0
70,0,1,157.5597827443482,0,0,0,0,0,0,0
71,6,8,199.15843381260336,0,0,0,0,0,0,0
72,9,1,200.34848919454583,0,0,0,0,0,0,0
73,9,5,157.58652808239012,0,0,0,0,0,0,0
74,5,6,154.2624632315653,0,0,0,0,0,0,0
75,6,7,161.5588236448893,0,0,0,0,0,0,0
76,5,11,199.8970592503149,0,0,0,0,0,0,0
77,7,5,116.45456363237567,0,0,0,0,0,0,0
78,10,3,127.12239238421574,0,0,0,0,0,0,0
79,11,0,223.80260162788824,0,0,0,0,0,0,0
