LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,16,1012,0,0,0,0,0
1,0,20,1046,0,0,0,0,0
2,1,2,1637,0,0,0,0,0
3,1,3,1287,0,0,0,0,0
4,1,4,1504,0,0,0,0,0
5,1,6,1220,0,0,0,0,0
6,2,12,1314,0,0,0,0,0
7,2,20,1223,0,0,0,0,0
8,3,4,1990,0,0,0,0,0
9,4,7,1265,0,0,0,0,0
10,5,7,1956,0,0,0,0,0
11,6,7,1108,0,0,0,0,0
12,8,9,1073,0,0,0,0,0
13,8,14,1671,0,0,0,0,0
14,9,10,1836,0,0,0,0,0
15,10,18,1553,0,0,0,0,0
16,10,15,1850,0,0,0,0,0
17,10,17,1881,0,0,0,0,0
18,11,19,1100,0,0,0,0,0
19,11,12,1432,0,0,0,0,0
20,11,13,1572,0,0,0,0,0
21,11,14,1043,0,0,0,0,0
22,13,14,1228,0,0,0,0,0
23,14,15,1177,0,0,0,0,0
24,16,19,1669,0,0,0,0,0
25,18,19,1589,0,0,0,0,0
26,19,20,1905,0,0,0,0,0
