tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,5,3,113.57456378309942,0,0,0,0,0,0,0
1,5,1,198.2110892878452,0,0,0,0,0,0,0
2,14,5,146.29242788014088,0,0,0,0,0,0,0
3,11,5,207.98524956475572,0,0,0,0,0,0,0
4,19,9,203.32659312521753,0,0,0,0,0,0,0
5,9,8,134.735906263383,0,0,0,0,0,0,0
6,3,5,138.34028520923133,0,0,0,0,0,0,0
7,5,1,133.8367157405708,0,0,0,0,0,0,0
8,6,12,115.47858000937529,0,0,0,0,0,0,0
9,13,8,162.8950183078736,0,0,0,0,0,0,0
10,8,9,155.97201418901068,0,0,0,0,0,0,0
11,8,4,169.30269109179966,0,0,0,0,0,0,0
12,7,3,116.81677962797015,0,0,0,0,0,0,0
13,0,2,139.68848615605458,0,0,0,0,0,0,0
14,8,20,230.3632131199925,0,0,0,0,0,0,0
15,2,4,102.10020621555458,0,0,0,0,0,0,0
16,17,11,163.95644221606472,0,0,0,0,0,0,0
17,6,1,191.1592227786324,0,0,0,0,0,0,0
18,4,20,117.53327894201645,0,0,0,0,0,0,0
19,9,2,203.92530137497127,0,0,0,0,0,0,0
20,13,6,164.2320874020216,0,0,0,0,0,0,0
21,5,0,212.02828054196675,0,0,0,0,0,0,0
22,13,6,233.03754814406406,0,0,0,0,0,0,0
23,10,0,112.91052306786155,0,0,0,0,0,0,0
24,18,5,148.84947034148547,0,0,0,0,0,0,0
25,11,7,183.55580627100528,0,0,0,0,0,0,0
26,19,2,142.60235062056896,0,0,0,0,0,0,0
27,20,2,140.6308646378482,0,0,0,0,0,0,0
28,2,19,191.93257554004424,0,0,0,0,0,0,0
29,16,9,175.29540452423788,0,0,0,0,0,0,0
30,19,17,219.14622512519992,0,0,0,0,0,0,0
31,10,0,172.54884536020327,0,0,0,0,0,0,0
32,8,19,151.14624017099106,0,0,0,0,0,0,0
33,18,15,132.16894947558376,0,0,0,0,0,0,0
34,0,6,149.24755967487454,0,0,0,0,0,0,0
35,13,8,202.61909008519126,0,0,0,0,0,0,0
36,7,3,194.29525657721268,0,0,0,0,0,0,0
37,19,20,186.07075627683895,0,0,0,0,0,0,0
38,15,19,179.47859833100148,0,0,0,0,0,0,0
39,10,19,101.31713493128416,0,0,0,0,0,0,0
