tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,8,10,130.6704347345116,0,0,0,0,0,0,0
1,3,9,194.7883388510209,0,0,0,0,0,0,0
2,13,6,136.2458410324801,0,0,0,0,0,0,0
3,10,7,140.4400994445822,0,0,0,0,0,0,0
4,10,3,183.24039194983413,0,0,0,0,0,0,0
5,13,5,236.57291580686248,0,0,0,0,0,0,0
6,3,14,226.6929758485092,0,0,0,0,0,0,0
7,14,13,226.49568209437257,0,0,0,0,0,0,0
8,6,1,101.36351772809904,0,0,0,0,0,0,0
9,7,11,236.0620078976206,0,0,0,0,0,0,0
10,4,2,205.69870976020792,0,0,0,0,0,0,0
11,13,1,178.79925129007614,0,0,0,0,0,0,0
12,8,2,106.7896847995022,0,0,0,0,0,0,0
13,4,14,150.45939330231772,0,0,0,0,0,0,0
14,9,3,231.73518668522496,0,0,0,0,0,0,0
15,12,1,190.72140562246852,0,0,0,0,0,0,0
16,6,12,105.61626060239367,0,0,0,0,0,0,0
17,2,6,242.60782110693933,0,0,0,0,0,0,0
18,6,5,165.91018843613597,0,0,0,0,0,0,0
19,3,10,161.13417187466746,0,0,0,0,0,0,0
20,11,3,206.81728022169017,0,0,0,0,0,0,0
21,2,13,114.36850283866083,0,0,0,0,0,0,0
22,4,7,179.7539912643672,0,0,0,0,0,0,0
23,2,7,151.97460168188618,0,0,0,0,0,0,0
24,5,3,227.45815947748687,0,0,0,0,0,0,0
25,14,2,151.21266534861894,0,0,0,0,0,0,0
26,11,6,113.21616027629845,0,0,0,0,0,0,0
27,0,2,220.45518633285144,0,0,0,0,0,0,0
28,9,13,229.457385768179,0,0,0,0,0,0,0
29,1,11,162.99822476629458,0,0,0,0,0,0,0
30,14,9,168.64056222854992,0,0,0,0,0,0,0
31,7,14,195.3153380234619,0,0,0,0,0,0,0
32,9,2,176.3260549479822,0,0,0,0,0,0,0
33,10,4,127.5141854364604,0,0,0,0,0,0,0
34,0,5,200.5808380192861,0,0,0,0,0,0,0
35,12,13,109.02977622959136,0,0,0,0,0,0,0
36,8,0,215.3121982891168,0,0,0,0,0,0,0
37,4,6,200.72579980424422,0,0,0,0,0,0,0
38,12,11,204.32132267958397,0,0,0,0,0,0,0
39,13,11,184.9614212182468,0,0,0,0,0,0,0
40,1,9,198.58143501355931,0,0,0,0,0,0,0
41,9,5,199.55862090578177,0,0,0,0,0,0,0
42,14,9,228.54974257465994,0,0,0,0,0,0,0
43,7,1,182.83262590757954,0,0,0,0,0,0,0
44,6,10,191.826867748241,0,0,0,0,0,0,0
45,12,6,147.44024608249168,0,0,0,0,0,0,0
46,6,10,157.11519156494174,0,0,0,0,0,0,0
47,10,7,141.55355703641655,0,0,0,0,0,0,0
48,3,12,126.17449424725805,0,0,0,0,0,0,0
49,2,6,160.69889462736205,0,0,0,0,0,0,0
50,1,0,115.53968486838039,0,0,0,0,0,0,0
51,1,10,197.76660603355296,0,0,0,0,0,0,0
52,4,2,150.05259707241683,0,0,0,0,0,0,0
53,5,7,161.66480022059352,0,0,0,0,0,0,0
54,10,7,150.06773717940354,0,0,0,0,0,0,0
55,8,6,155.22050831068,0,0,0,0,0,0,0
56,13,0,158.3232098356518,0,0,0,0,0,0,0
57,1,10,112.06287612487102,0,0,0,0,0,0,0
58,6,13,111.59748924228477,0,0,0,0,0,0,0
59,6,9,156.62993921201124,0,0,0,0,0,0,0
60,3,7,195.34531550122904,0,0,0,0,0,0,0
61,1,5,208.07952889295765,0,0,0,0,0,0,0
62,7,8,203.31196759267746,0,0,0,0,0,0,0
63,11,4,217.71672015934575,0,0,0,0,0,0,0
64,14,4,178.41119652738698,0,0,0,0,0,0,0
65,3,4,191.3378617934614,0,0,0,0,0,0,0
66,3,6,175.76644629358333,0,0,0,0,0,0,0
67,10,14,163.8198258229851,0,0,0,0,0,0,0
68,12,9,173.22709548420892,0,0,0,0,0,0,0
69,4,14,119.22728385753103,0,0,0,0,0,0,0
70,10,4,196.38850888153843,0,0,0,0,0,0,0
71,0,7,172.17160783538174,0,0,0,0,0,0,0
72,6,12,222.39498779033386,0,0,0,0,0,0,0
73,3,1,163.52303976421038,0,0,0,0,0,0,0
74,10,7,174.98903968353204,0,0,0,0,0,0,0
75,5,0,187.77937465369894,0,0,0,0,0,0,0
76,0,2,102.73968590618159,0,0,0,0,0,0,0
77,11,4,145.57941486537726,0,0,0,0,0,0,0
78,14,3,164.0307627030977,0,0,0,0,0,0,0
79,12,3,166.66158989733952,0,0,0,0,0,0,0
