LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,3,1216,0,0,0,0,0
1,0,15,1112,0,0,0,0,0
2,1,15,1742,0,0,0,0,0
3,2,3,1770,0,0,0,0,0
4,2,7,1052,0,0,0,0,0
5,3,4,1317,0,0,0,0,0
6,3,6,1606,0,0,0,0,0
7,3,7,1485,0,0,0,0,0
8,4,5,1368,0,0,0,0,0
9,6,9,1404,0,0,0,0,0
10,6,13,1588,0,0,0,0,0
11,6,7,1260,0,0,0,0,0
12,7,8,1800,0,0,0,0,0
13,8,9,1045,0,0,0,0,0
14,9,10,1072,0,0,0,0,0
15,10,11,1168,0,0,0,0,0
16,11,12,1148,0,0,0,0,0
17,12,13,1807,0,0,0,0,0
18,13,14,1272,0,0,0,0,0
19,13,15,1072,0,0,0,0,0
