tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,15,5,197.75175188305923,0,0,0,0,0,0,0
1,15,12,194.95117420886265,0,0,0,0,0,0,0
2,3,1,147.5978270365179,0,0,0,0,0,0,0
3,1,7,152.88156333516332,0,0,0,0,0,0,0
4,2,12,136.81728067071123,0,0,0,0,0,0,0
5,9,8,121.38014799527937,0,0,0,0,0,0,0
6,11,3,145.85373615946858,0,0,0,0,0,0,0
7,15,9,181.25993191009638,0,0,0,0,0,0,0
8,3,6,158.22400347585682,0,0,0,0,0,0,0
9,1,9,220.30633076295663,0,0,0,0,0,0,0
10,10,0,106.53321706062134,0,0,0,0,0,0,0
11,0,11,216.01333116115887,0,0,0,0,0,0,0
12,4,13,131.32967774963458,0,0,0,0,0,0,0
13,9,8,237.79578535661986,0,0,0,0,0,0,0
14,14,2,138.04498925818123,0,0,0,0,0,0,0
15,6,3,147.2866597259792,0,0,0,0,0,0,0
16,11,9,115.21695195912062,0,0,0,0,0,0,0
17,9,6,181.08744475910459,0,0,0,0,0,0,0
18,8,3,146.93233926548288,0,0,0,0,0,0,0
19,9,4,215.33968162120902,0,0,0,0,0,0,0
20,13,7,143.4183818620802,0,0,0,0,0,0,0
21,9,3,221.4854855220555,0,0,0,0,0,0,0
22,0,13,182.91135851528074,0,0,0,0,0,0,0
23,3,14,106.94403765047949,0,0,0,0,0,0,0
24,5,14,111.29229082825509,0,0,0,0,0,0,0
25,12,14,116.76066659637678,0,0,0,0,0,0,0
26,14,9,132.5805718553528,0,0,0,0,0,0,0
27,3,14,130.7048967812839,0,0,0,0,0,0,0
28,9,4,189.19327858731546,0,0,0,0,0,0,0
29,2,6,181.98772268527472,0,0,0,0,0,0,0
30,15,1,102.39353425259557,0,0,0,0,0,0,0
31,7,4,164.91174072592827,0,0,0,0,0,0,0
32,8,7,161.0310713869313,0,0,0,0,0,0,0
33,13,7,126.58574650300815,0,0,0,0,0,0,0
34,14,4,184.17335818145204,0,0,0,0,0,0,0
35,8,0,119.85162546169752,0,0,0,0,0,0,0
36,15,9,208.6670361105931,0,0,0,0,0,0,0
37,3,8,131.10657916782762,0,0,0,0,0,0,0
38,14,3,108.69975832155596,0,0,0,0,0,0,0
39,3,8,143.73220395175034,0,0,0,0,0,0,0
40,4,6,231.0760094239618,0,0,0,0,0,0,0
41,14,1,111.25430137109751,0,0,0,0,0,0,0
42,6,9,126.11978333464924,0,0,0,0,0,0,0
43,8,13,212.1194754927494,0,0,0,0,0,0,0
44,5,13,133.28190376378456,0,0,0,0,0,0,0
45,10,6,207.20591317846848,0,0,0,0,0,0,0
46,8,2,208.826513139552,0,0,0,0,0,0,0
47,0,1,136.34593591078396,0,0,0,0,0,0,0
48,5,3,113.73057139947663,0,0,0,0,0,0,0
49,14,13,134.7262454230002,0,0,0,0,0,0,0
50,14,8,101.46100456247044,0,0,0,0,0,0,0
51,14,10,186.83697279386195,0,0,0,0,0,0,0
52,8,11,117.95635554106642,0,0,0,0,0,0,0
53,1,2,203.24334412762886,0,0,0,0,0,0,0
54,9,2,192.3987719832656,0,0,0,0,0,0,0
55,12,9,136.96999815381702,0,0,0,0,0,0,0
56,6,8,123.26280304478428,0,0,0,0,0,0,0
57,1,14,191.25010153463055,0,0,0,0,0,0,0
58,14,6,140.40391558101857,0,0,0,0,0,0,0
59,4,1,179.24454652505267,0,0,0,0,0,0,0
60,9,4,196.55236929379998,0,0,0,0,0,0,0
61,2,3,166.03707335822162,0,0,0,0,0,0,0
62,1,12,190.92926652958255,0,0,0,0,0,0,0
63,15,13,148.4253320546342,0,0,0,0,0,0,0
64,6,10,216.08997137533822,0,0,0,0,0,0,0
65,6,5,155.98030876904295,0,0,0,0,0,0,0
66,1,4,210.03403927596747,0,0,0,0,0,0,0
67,5,12,167.79881632045038,0,0,0,0,0,0,0
68,3,4,192.1070956209533,0,0,0,0,0,0,0
69,13,6,194.23138291189912,0,0,0,0,0,0,0
70,15,7,192.97374595677374,0,0,0,0,0,0,0
71,10,11,212.64389409121395,0,0,0,0,0,0,0
72,10,2,140.44418650660282,0,0,0,0,0,0,0
73,10,13,143.58337402840408,0,0,0,0,0,0,0
74,15,6,228.20919527294632,0,0,0,0,0,0,0
75,7,0,165.66670700209033,0,0,0,0,0,0,0
76,9,5,224.28858169230614,0,0,0,0,0,0,0
77,3,5,131.76820149386708,0,0,0,0,0,0,0
78,12,0,102.60175096517733,0,0,0,0,0,0,0
79,6,14,123.4691816602018,0,0,0,0,0,0,0
