LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,3,1566,0,0,0,0,0
1,1,2,1602,0,0,0,0,0
2,1,3,1890,0,0,0,0,0
3,1,4,1784,0,0,0,0,0
4,2,3,1513,0,0,0,0,0
5,2,15,1525,0,0,0,0,0
6,4,5,1816,0,0,0,0,0
7,5,8,1024,0,0,0,0,0
8,6,12,1563,0,0,0,0,0
9,6,7,1297,0,0,0,0,0
10,7,23,1743,0,0,0,0,0
11,8,9,1900,0,0,0,0,0
12,9,13,1669,0,0,0,0,0
13,10,12,1299,0,0,0,0,0
14,11,12,1044,0,0,0,0,0
15,12,13,1863,0,0,0,0,0
16,14,19,1191,0,0,0,0,0
17,14,22,1551,0,0,0,0,0
18,14,15,1051,0,0,0,0,0
19,16,17,1818,0,0,0,0,0
20,16,18,1757,0,0,0,0,0
21,18,19,1990,0,0,0,0,0
22,20,23,1106,0,0,0,0,0
23,21,22,1084,0,0,0,0,0
24,22,23,1727,0,0,0,0,0
