tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,9,0,169.2090860434074,0,0,0,0,0,0,0
1,7,10,196.40210561360126,0,0,0,0,0,0,0
2,21,0,123.76332466920414,0,0,0,0,0,0,0
3,15,20,183.44584170273052,0,0,0,0,0,0,0
4,9,4,175.50497579909796,0,0,0,0,0,0,0
5,9,15,139.63309955819872,0,0,0,0,0,0,0
6,6,12,124.47462012017866,0,0,0,0,0,0,0
7,18,1,109.67304992717676,0,0,0,0,0,0,0
8,23,6,185.23403597877936,0,0,0,0,0,0,0
9,8,15,122.08638173883827,0,0,0,0,0,0,0
10,21,9,190.00392866497398,0,0,0,0,0,0,0
11,10,0,243.60907688322624,0,0,0,0,0,0,0
12,0,11,112.80828784544093,0,0,0,0,0,0,0
13,4,0,170.59338709461963,0,0,0,0,0,0,0
14,17,4,198.0279463502559,0,0,0,0,0,0,0
15,15,14,108.75212960563832,0,0,0,0,0,0,0
16,20,17,207.52826375475843,0,0,0,0,0,0,0
17,18,2,142.9185728522355,0,0,0,0,0,0,0
18,21,9,133.82048589013758,0,0,0,0,0,0,0
19,6,10,145.97782480748032,0,0,0,0,0,0,0
20,19,17,174.15739337945212,0,0,0,0,0,0,0
21,15,23,142.0081142118363,0,0,0,0,0,0,0
22,5,21,223.2598512746747,0,0,0,0,0,0,0
23,4,10,120.02669264074704,0,0,0,0,0,0,0
24,14,21,137.5779980611763,0,0,0,0,0,0,0
25,8,11,119.53616754648988,0,0,0,0,0,0,0
26,17,1,173.52074296525024,0,0,0,0,0,0,0
27,12,11,163.90881922910253,0,0,0,0,0,0,0
28,9,3,125.96759326876864,0,0,0,0,0,0,0
29,11,13,184.28457373228824,0,0,0,0,0,0,0
30,0,20,167.2768416948672,0,0,0,0,0,0,0
31,4,17,142.04918288774434,0,0,0,0,0,0,0
32,6,9,134.29667867748992,0,0,0,0,0,0,0
33,8,14,108.12481862650816,0,0,0,0,0,0,0
34,2,3,165.42466277420255,0,0,0,0,0,0,0
35,8,2,221.27508576851565,0,0,0,0,0,0,0
36,6,9,112.90983005549194,0,0,0,0,0,0,0
37,5,1,181.98933080255694,0,0,0,0,0,0,0
38,6,4,218.88250186145603,0,0,0,0,0,0,0
39,8,16,120.15839070449724,0,0,0,0,0,0,0
40,16,11,142.1952726929726,0,0,0,0,0,0,0
41,15,9,207.92748224861862,0,0,0,0,0,0,0
42,23,7,213.32926666400175,0,0,0,0,0,0,0
43,22,2,198.23032309142945,0,0,0,0,0,0,0
44,0,3,178.10866403173108,0,0,0,0,0,0,0
45,18,21,238.42539633921703,0,0,0,0,0,0,0
46,4,8,161.15083123475253,0,0,0,0,0,0,0
47,6,2,151.09984854989148,0,0,0,0,0,0,0
48,7,9,147.9079314218318,0,0,0,0,0,0,0
49,6,5,194.07892667497987,0,0,0,0,0,0,0
50,5,1,216.4738217377439,0,0,0,0,0,0,0
51,20,3,206.14230175218205,0,0,0,0,0,0,0
52,7,13,154.29038599211117,0,0,0,0,0,0,0
53,12,20,102.0970159031247,0,0,0,0,0,0,0
54,15,14,108.42734590996643,0,0,0,0,0,0,0
55,21,2,233.22306928241724,0,0,0,0,0,0,0
56,23,1,164.48825649863164,0,0,0,0,0,0,0
57,3,2,133.2882956966654,0,0,0,0,0,0,0
58,1,4,166.8740346724743,0,0,0,0,0,0,0
59,3,20,129.53911343612612,0,0,0,0,0,0,0
60,17,20,200.93936859218434,0,0,0,0,0,0,0
61,21,17,137.42101817845085,0,0,0,0,0,0,0
62,17,6,139.7699605666415,0,0,0,0,0,0,0
63,12,2,159.61741499618353,0,0,0,0,0,0,0
64,23,10,179.22831694526556,0,0,0,0,0,0,0
65,10,2,205.97987080002014,0,0,0,0,0,0,0
66,14,0,219.97760440334932,0,0,0,0,0,0,0
67,4,23,196.75209632569675,0,0,0,0,0,0,0
68,6,13,127.71769815811135,0,0,0,0,0,0,0
69,6,5,156.81387435296506,0,0,0,0,0,0,0
70,21,15,225.52936933229256,0,0,0,0,0,0,0
71,23,14,175.6044640793836,0,0,0,0,0,0,0
72,12,9,127.31582989367944,0,0,0,0,0,0,0
73,0,15,139.22189592247483,0,0,0,0,0,0,0
74,0,16,135.9124302018769,0,0,0,0,0,0,0
75,15,10,144.09295593344046,0,0,0,0,0,0,0
76,16,13,114.61325438216939,0,0,0,0,0,0,0
77,18,13,117.87871120790231,0,0,0,0,0,0,0
78,12,19,151.19894730135812,0,0,0,0,0,0,0
79,16,18,143.9475166226943,0,0,0,0,0,0,0
