LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,11,1315,0,0,0,0,0
1,0,3,1327,0,0,0,0,0
2,1,2,1099,0,0,0,0,0
3,1,6,1377,0,0,0,0,0
4,2,10,1001,0,0,0,0,0
5,2,11,1199,0,0,0,0,0
6,2,14,1815,0,0,0,0,0
7,3,7,1522,0,0,0,0,0
8,4,13,1100,0,0,0,0,0
9,4,6,1035,0,0,0,0,0
10,4,5,1904,0,0,0,0,0
11,5,7,1156,0,0,0,0,0
12,6,13,1420,0,0,0,0,0
13,6,14,1020,0,0,0,0,0
14,6,7,1539,0,0,0,0,0
15,8,16,1919,0,0,0,0,0
16,8,12,1574,0,0,0,0,0
17,8,15,1462,0,0,0,0,0
18,9,16,1729,0,0,0,0,0
19,9,14,1554,0,0,0,0,0
20,9,15,1864,0,0,0,0,0
21,10,19,1725,0,0,0,0,0
22,12,13,1340,0,0,0,0,0
23,13,16,1112,0,0,0,0,0
24,13,14,1896,0,0,0,0,0
25,14,15,1189,0,0,0,0,0
26,14,17,1353,0,0,0,0,0
27,15,16,1094,0,0,0,0,0
28,16,17,1375,0,0,0,0,0
29,17,18,1268,0,0,0,0,0
30,17,19,1486,0,0,0,0,0
