tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,16,17,190.39254218804018,0,0,0,0,0,0,0
1,18,1,152.62281127517124,0,0,0,0,0,0,0
2,5,2,126.9496780375924,0,0,0,0,0,0,0
3,17,0,179.7571147807117,0,0,0,0,0,0,0
4,12,19,140.22775718449503,0,0,0,0,0,0,0
5,2,3,103.82912480047992,0,0,0,0,0,0,0
6,15,0,144.08123448979492,0,0,0,0,0,0,0
7,3,0,179.2924537332844,0,0,0,0,0,0,0
8,9,11,148.85237636893802,0,0,0,0,0,0,0
9,1,16,156.87082724551493,0,0,0,0,0,0,0
10,10,12,107.85034791484792,0,0,0,0,0,0,0
11,2,4,160.21706119122877,0,0,0,0,0,0,0
12,5,4,221.9881477844861,0,0,0,0,0,0,0
13,6,17,177.47431365249884,0,0,0,0,0,0,0
14,10,15,200.90935477215015,0,0,0,0,0,0,0
15,16,5,133.82792388908098,0,0,0,0,0,0,0
16,5,1,107.61214200533598,0,0,0,0,0,0,0
17,18,0,249.3795965356484,0,0,0,0,0,0,0
18,11,13,147.95211811156656,0,0,0,0,0,0,0
19,9,3,193.04134192183713,0,0,0,0,0,0,0
20,13,9,187.69232170411593,0,0,0,0,0,0,0
21,18,17,149.8750447928149,0,0,0,0,0,0,0
22,14,5,126.83333845507524,0,0,0,0,0,0,0
23,8,10,155.23350841955457,0,0,0,0,0,0,0
24,1,10,184.65218360074078,0,0,0,0,0,0,0
25,5,15,130.78501272432118,0,0,0,0,0,0,0
26,18,15,124.39335655295133,0,0,0,0,0,0,0
27,8,11,175.03338841891087,0,0,0,0,0,0,0
28,13,6,203.00885414959464,0,0,0,0,0,0,0
29,4,3,206.7741847084886,0,0,0,0,0,0,0
30,1,15,107.7470726136757,0,0,0,0,0,0,0
31,18,4,194.73460535832538,0,0,0,0,0,0,0
32,4,13,190.04699746170422,0,0,0,0,0,0,0
33,18,13,155.60538272944524,0,0,0,0,0,0,0
34,8,7,140.35743511160229,0,0,0,0,0,0,0
35,13,18,161.72593520239144,0,0,0,0,0,0,0
36,0,16,184.19648992786722,0,0,0,0,0,0,0
37,18,17,197.56460759047798,0,0,0,0,0,0,0
38,7,4,176.46765584388504,0,0,0,0,0,0,0
39,14,4,199.06372315648375,0,0,0,0,0,0,0
40,1,9,120.90877285230803,0,0,0,0,0,0,0
41,16,5,198.38401608644,0,0,0,0,0,0,0
42,7,1,216.4223001834015,0,0,0,0,0,0,0
43,6,1,183.21439508164067,0,0,0,0,0,0,0
44,8,11,208.22247655622624,0,0,0,0,0,0,0
45,3,5,186.3828892099368,0,0,0,0,0,0,0
46,3,0,124.81923817833751,0,0,0,0,0,0,0
47,6,19,174.48488821426392,0,0,0,0,0,0,0
48,17,13,100.32953893955084,0,0,0,0,0,0,0
49,14,19,162.58621289970256,0,0,0,0,0,0,0
50,8,7,217.19746671885082,0,0,0,0,0,0,0
51,8,5,223.68568660300508,0,0,0,0,0,0,0
52,17,9,152.96827582950684,0,0,0,0,0,0,0
53,3,5,190.0670998492658,0,0,0,0,0,0,0
54,5,9,124.38611424988463,0,0,0,0,0,0,0
55,7,10,192.93388810119458,0,0,0,0,0,0,0
56,1,3,151.98509086491242,0,0,0,0,0,0,0
57,0,13,168.87450196174217,0,0,0,0,0,0,0
58,12,17,147.25151886316567,0,0,0,0,0,0,0
59,2,17,215.5716949617956,0,0,0,0,0,0,0
60,5,13,156.3780664724078,0,0,0,0,0,0,0
61,12,17,212.20180320141418,0,0,0,0,0,0,0
62,17,3,128.65799089491514,0,0,0,0,0,0,0
63,3,16,194.6552169449808,0,0,0,0,0,0,0
64,11,19,146.62975493677902,0,0,0,0,0,0,0
65,15,14,163.75917222012566,0,0,0,0,0,0,0
66,6,19,107.69587423806306,0,0,0,0,0,0,0
67,10,16,180.23641702884936,0,0,0,0,0,0,0
68,1,8,118.2329063862611,0,0,0,0,0,0,0
69,17,3,181.71976422872277,0,0,0,0,0,0,0
70,15,13,100.73036448145572,0,0,0,0,0,0,0
71,17,9,174.54806291967375,0,0,0,0,0,0,0
72,14,5,124.682376609281,0,0,0,0,0,0,0
73,19,1,185.52796964129374,0,0,0,0,0,0,0
74,1,8,238.9274826141463,0,0,0,0,0,0,0
75,6,10,149.37223945132874,0,0,0,0,0,0,0
76,19,4,118.03679556026658,0,0,0,0,0,0,0
77,12,19,194.7077457410648,0,0,0,0,0,0,0
78,4,13,179.38207861673624,0,0,0,0,0,0,0
79,3,2,184.42499314593027,0,0,0,0,0,0,0
