tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,15,8,192.3177125857052,0,0,0,0,0,0,0
1,0,13,205.59948770135168,0,0,0,0,0,0,0
2,12,7,166.33185407035202,0,0,0,0,0,0,0
3,23,29,184.00559079925065,0,0,0,0,0,0,0
4,32,14,101.99137192770397,0,0,0,0,0,0,0
5,15,1,194.84501551782432,0,0,0,0,0,0,0
6,8,29,146.9295813404553,0,0,0,0,0,0,0
7,21,26,203.58818270081784,0,0,0,0,0,0,0
8,13,4,176.38613345863286,0,0,0,0,0,0,0
9,27,9,183.48914655165783,0,0,0,0,0,0,0
10,3,16,167.50402194433997,0,0,0,0,0,0,0
11,2,10,119.69763637727216,0,0,0,0,0,0,0
12,32,15,177.31099712377096,0,0,0,0,0,0,0
13,3,24,142.87387037754974,0,0,0,0,0,0,0
14,32,17,157.01046857692705,0,0,0,0,0,0,0
15,15,26,151.8422671537844,0,0,0,0,0,0,0
16,5,6,187.11610115308082,0,0,0,0,0,0,0
17,32,27,231.78380216439666,0,0,0,0,0,0,0
18,2,25,135.71599161026174,0,0,0,0,0,0,0
19,8,16,103.51096503048998,0,0,0,0,0,0,0
20,27,2,135.78842620434034,0,0,0,0,0,0,0
21,31,17,202.3687777810062,0,0,0,0,0,0,0
22,23,28,188.50177332256354,0,0,0,0,0,0,0
23,8,11,137.9214426640014,0,0,0,0,0,0,0
24,22,10,154.5809629909893,0,0,0,0,0,0,0
25,32,10,107.53545583912455,0,0,0,0,0,0,0
26,10,0,183.49233811295605,0,0,0,0,0,0,0
27,5,27,108.12080891966934,0,0,0,0,0,0,0
28,15,31,171.91184230806837,0,0,0,0,0,0,0
29,15,26,132.33466743627375,0,0,0,0,0,0,0
30,31,20,192.76755683880458,0,0,0,0,0,0,0
31,31,7,108.14403415095839,0,0,0,0,0,0,0
32,0,17,101.63688833199274,0,0,0,0,0,0,0
33,11,16,209.3717708890951,0,0,0,0,0,0,0
34,29,11,169.91923388885635,0,0,0,0,0,0,0
35,4,13,211.8373702434746,0,0,0,0,0,0,0
36,22,11,144.87726921104314,0,0,0,0,0,0,0
37,4,23,208.12057418668888,0,0,0,0,0,0,0
38,27,29,137.42670276130846,0,0,0,0,0,0,0
39,13,15,116.95981637349593,0,0,0,0,0,0,0
40,20,31,139.7217146164353,0,0,0,0,0,0,0
41,10,31,180.43974876154894,0,0,0,0,0,0,0
42,6,3,123.68271479801817,0,0,0,0,0,0,0
43,26,9,128.2606961327232,0,0,0,0,0,0,0
44,13,12,158.59624420448964,0,0,0,0,0,0,0
45,21,5,145.0906208949737,0,0,0,0,0,0,0
46,12,21,183.3652415048084,0,0,0,0,0,0,0
47,27,1,123.58927173341627,0,0,0,0,0,0,0
48,24,4,113.396058322072,0,0,0,0,0,0,0
49,20,28,114.73012638175655,0,0,0,0,0,0,0
50,30,17,207.40564998886373,0,0,0,0,0,0,0
51,2,8,152.64805076426543,0,0,0,0,0,0,0
52,24,0,162.54524830200955,0,0,0,0,0,0,0
53,15,9,220.8347981998677,0,0,0,0,0,0,0
54,7,26,171.562314881253,0,0,0,0,0,0,0
55,17,18,161.24139230049212,0,0,0,0,0,0,0
56,6,4,157.2019340676298,0,0,0,0,0,0,0
57,8,27,105.39535182935155,0,0,0,0,0,0,0
58,4,7,159.21347702400678,0,0,0,0,0,0,0
59,7,14,148.35925279091973,0,0,0,0,0,0,0
60,23,2,124.97824497233546,0,0,0,0,0,0,0
61,26,7,151.22438220274552,0,0,0,0,0,0,0
62,15,31,181.2072907526437,0,0,0,0,0,0,0
63,1,32,244.90748553801888,0,0,0,0,0,0,0
64,27,0,126.47342253423477,0,0,0,0,0,0,0
65,11,25,172.1407933949416,0,0,0,0,0,0,0
66,13,19,133.343250026716,0,0,0,0,0,0,0
67,32,24,170.36708844314182,0,0,0,0,0,0,0
68,4,1,163.33091597161692,0,0,0,0,0,0,0
69,9,25,179.01851689572692,0,0,0,0,0,0,0
70,26,28,196.04541731551063,0,0,0,0,0,0,0
71,13,12,113.65857549705407,0,0,0,0,0,0,0
72,27,17,138.67089160533604,0,0,0,0,0,0,0
73,6,27,170.54047329179878,0,0,0,0,0,0,0
74,32,11,133.98299575775857,0,0,0,0,0,0,0
75,25,26,173.79839130461323,0,0,0,0,0,0,0
76,2,0,214.34728556788122,0,0,0,0,0,0,0
77,17,6,206.4195786432008,0,0,0,0,0,0,0
78,5,25,211.73466746533512,0,0,0,0,0,0,0
79,27,24,144.9332268684976,0,0,0,0,0,0,0
