LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,24,1967,0,0,0,0,0
1,0,1,1097,0,0,0,0,0
2,0,6,1751,0,0,0,0,0
3,1,6,1998,0,0,0,0,0
4,2,24,1627,0,0,0,0,0
5,2,21,1733,0,0,0,0,0
6,3,24,1731,0,0,0,0,0
7,3,4,1118,0,0,0,0,0
8,4,20,1447,0,0,0,0,0
9,5,8,1082,0,0,0,0,0
10,5,20,1189,0,0,0,0,0
11,6,7,1273,0,0,0,0,0
12,7,16,1878,0,0,0,0,0
13,7,20,1301,0,0,0,0,0
14,8,25,1961,0,0,0,0,0
15,8,20,1624,0,0,0,0,0
16,9,20,1651,0,0,0,0,0
17,10,20,1798,0,0,0,0,0
18,10,13,1308,0,0,0,0,0
19,11,21,1262,0,0,0,0,0
20,12,21,1089,0,0,0,0,0
21,13,21,1789,0,0,0,0,0
22,13,14,1104,0,0,0,0,0
23,15,16,1013,0,0,0,0,0
24,16,17,1167,0,0,0,0,0
25,16,22,1368,0,0,0,0,0
26,17,18,1113,0,0,0,0,0
27,18,20,1837,0,0,0,0,0
28,19,20,1651,0,0,0,0,0
29,19,21,1571,0,0,0,0,0
30,20,21,1223,0,0,0,0,0
31,21,24,1227,0,0,0,0,0
32,21,27,1096,0,0,0,0,0
33,21,28,1511,0,0,0,0,0
34,21,29,1139,0,0,0,0,0
35,21,30,1719,0,0,0,0,0
36,23,24,1062,0,0,0,0,0
37,23,32,1700,0,0,0,0,0
38,25,26,1596,0,0,0,0,0
39,26,27,1829,0,0,0,0,0
40,28,29,1994,0,0,0,0,0
41,30,31,1118,0,0,0,0,0
42,31,32,1536,0,0,0,0,0
