tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,15,4,162.6206660223226,0,0,0,0,0,0,0
1,18,11,191.35143384188262,0,0,0,0,0,0,0
2,14,0,103.9322414926643,0,0,0,0,0,0,0
3,1,4,162.09784736253988,0,0,0,0,0,0,0
4,2,5,146.80785842221746,0,0,0,0,0,0,0
5,14,4,106.04380216864818,0,0,0,0,0,0,0
6,9,17,204.2583003836477,0,0,0,0,0,0,0
7,15,18,182.52714593292615,0,0,0,0,0,0,0
8,14,5,180.50944924047928,0,0,0,0,0,0,0
9,12,15,189.17477901986462,0,0,0,0,0,0,0
10,16,1,148.45736219132226,0,0,0,0,0,0,0
11,6,16,165.53881204064947,0,0,0,0,0,0,0
12,7,6,171.9193049795442,0,0,0,0,0,0,0
13,14,2,115.3858766028784,0,0,0,0,0,0,0
14,15,11,196.6006266035306,0,0,0,0,0,0,0
15,4,14,191.91119286598467,0,0,0,0,0,0,0
16,13,3,151.98911212726682,0,0,0,0,0,0,0
17,5,16,204.31405143174226,0,0,0,0,0,0,0
18,11,18,127.92926262857486,0,0,0,0,0,0,0
19,7,6,172.92737044580053,0,0,0,0,0,0,0
20,14,3,200.34952362737562,0,0,0,0,0,0,0
21,5,6,219.44964136318026,0,0,0,0,0,0,0
22,10,17,173.5910342210223,0,0,0,0,0,0,0
23,0,18,144.8391656896101,0,0,0,0,0,0,0
24,15,3,176.24506311653948,0,0,0,0,0,0,0
25,5,16,161.74908820468758,0,0,0,0,0,0,0
26,3,14,117.10581527268099,0,0,0,0,0,0,0
27,16,8,185.24791771760746,0,0,0,0,0,0,0
28,7,16,172.4623703334612,0,0,0,0,0,0,0
29,8,14,210.6581522222073,0,0,0,0,0,0,0
30,15,3,227.20379864035124,0,0,0,0,0,0,0
31,10,3,205.57810099644018,0,0,0,0,0,0,0
32,14,2,103.1916113889082,0,0,0,0,0,0,0
33,1,9,110.56824239251297,0,0,0,0,0,0,0
34,10,12,105.69947312732852,0,0,0,0,0,0,0
35,8,14,109.29652911810454,0,0,0,0,0,0,0
36,15,12,189.08770906293654,0,0,0,0,0,0,0
37,16,7,188.82179661573184,0,0,0,0,0,0,0
38,12,2,181.66027252850108,0,0,0,0,0,0,0
39,7,16,171.44638649354005,0,0,0,0,0,0,0
