LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,9,1850,0,0,0,0,0
1,1,9,1818,0,0,0,0,0
2,2,10,1805,0,0,0,0,0
3,2,3,1666,0,0,0,0,0
4,3,9,1979,0,0,0,0,0
5,4,10,1410,0,0,0,0,0
6,5,10,1175,0,0,0,0,0
7,6,9,1926,0,0,0,0,0
8,7,15,1454,0,0,0,0,0
9,8,10,1142,0,0,0,0,0
10,9,10,1078,0,0,0,0,0
11,9,16,1143,0,0,0,0,0
12,9,17,1871,0,0,0,0,0
13,10,11,1306,0,0,0,0,0
14,10,18,1131,0,0,0,0,0
15,12,18,1676,0,0,0,0,0
16,12,14,1096,0,0,0,0,0
17,13,14,1504,0,0,0,0,0
18,14,17,1809,0,0,0,0,0
19,14,15,1857,0,0,0,0,0
20,15,16,1020,0,0,0,0,0
