LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,2,1396,0,0,0,0,0
1,0,21,1914,0,0,0,0,0
2,1,6,1424,0,0,0,0,0
3,2,3,1849,0,0,0,0,0
4,3,22,1353,0,0,0,0,0
5,4,9,1844,0,0,0,0,0
6,4,26,1598,0,0,0,0,0
7,4,27,1944,0,0,0,0,0
8,4,10,1167,0,0,0,0,0
9,4,5,1819,0,0,0,0,0
10,5,16,1868,0,0,0,0,0
11,5,30,1767,0,0,0,0,0
12,5,7,1364,0,0,0,0,0
13,6,7,1725,0,0,0,0,0
14,7,8,1096,0,0,0,0,0
15,8,9,1020,0,0,0,0,0
16,9,16,1122,0,0,0,0,0
17,11,19,1921,0,0,0,0,0
18,11,12,1545,0,0,0,0,0
19,12,17,1131,0,0,0,0,0
20,12,20,1136,0,0,0,0,0
21,13,16,1716,0,0,0,0,0
22,13,20,1491,0,0,0,0,0
23,13,14,1502,0,0,0,0,0
24,14,15,1578,0,0,0,0,0
25,15,16,1906,0,0,0,0,0
26,16,23,1782,0,0,0,0,0
27,16,24,1954,0,0,0,0,0
28,16,25,1435,0,0,0,0,0
29,17,18,1541,0,0,0,0,0
30,21,28,1361,0,0,0,0,0
31,22,30,1042,0,0,0,0,0
32,28,29,1919,0,0,0,0,0
33,29,30,1767,0,0,0,0,0
