tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,8,10,134.54308573774188,0,0,0,0,0,0,0
1,11,4,154.12174429610158,0,0,0,0,0,0,0
2,18,8,169.2242974637549,0,0,0,0,0,0,0
3,29,7,155.40536767856847,0,0,0,0,0,0,0
4,24,12,109.23595383628002,0,0,0,0,0,0,0
5,10,6,128.25688525482278,0,0,0,0,0,0,0
6,12,6,184.11717704552996,0,0,0,0,0,0,0
7,24,21,146.3248806363306,0,0,0,0,0,0,0
8,8,14,154.03083893636597,0,0,0,0,0,0,0
9,29,19,123.18745988914739,0,0,0,0,0,0,0
10,4,19,188.44062985052534,0,0,0,0,0,0,0
11,4,8,105.87216030411805,0,0,0,0,0,0,0
12,2,1,122.13572891205325,0,0,0,0,0,0,0
13,14,10,171.6671190302016,0,0,0,0,0,0,0
14,18,0,215.81236621100544,0,0,0,0,0,0,0
15,20,2,221.02223997162216,0,0,0,0,0,0,0
16,15,22,145.41631859814072,0,0,0,0,0,0,0
17,30,12,120.00453377451902,0,0,0,0,0,0,0
18,13,4,161.72207402373292,0,0,0,0,0,0,0
19,6,15,108.32228247556708,0,0,0,0,0,0,0
20,25,5,109.46699622418839,0,0,0,0,0,0,0
21,3,17,175.27358790394095,0,0,0,0,0,0,0
22,14,13,142.9445434191204,0,0,0,0,0,0,0
23,16,8,219.60636876906295,0,0,0,0,0,0,0
24,21,15,107.43437299957404,0,0,0,0,0,0,0
25,29,17,163.01931853831894,0,0,0,0,0,0,0
26,19,15,115.53291827055783,0,0,0,0,0,0,0
27,16,3,147.5284047034515,0,0,0,0,0,0,0
28,22,3,208.2139739187797,0,0,0,0,0,0,0
29,12,15,144.64705959359378,0,0,0,0,0,0,0
30,26,14,119.94612312854781,0,0,0,0,0,0,0
31,19,13,174.0862151789305,0,0,0,0,0,0,0
32,21,26,169.99673556026795,0,0,0,0,0,0,0
33,9,8,239.5797235221733,0,0,0,0,0,0,0
34,29,10,121.87872096509125,0,0,0,0,0,0,0
35,15,22,164.8822380471603,0,0,0,0,0,0,0
36,19,5,192.72630974081324,0,0,0,0,0,0,0
37,29,9,145.26903559846872,0,0,0,0,0,0,0
38,6,23,144.4972006259989,0,0,0,0,0,0,0
39,25,16,114.85725552368848,0,0,0,0,0,0,0
