tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,4,9,187.6467021278732,0,0,0,0,0,0,0
1,6,15,127.21955410554169,0,0,0,0,0,0,0
2,11,5,144.11469923423508,0,0,0,0,0,0,0
3,12,0,180.61923100070393,0,0,0,0,0,0,0
4,3,15,223.7903014217128,0,0,0,0,0,0,0
5,17,2,220.25910943623512,0,0,0,0,0,0,0
6,0,8,149.04122551771448,0,0,0,0,0,0,0
7,15,6,233.73741480057794,0,0,0,0,0,0,0
8,17,7,208.52785656557413,0,0,0,0,0,0,0
9,8,17,109.93040208198921,0,0,0,0,0,0,0
10,7,0,149.44505958780763,0,0,0,0,0,0,0
11,13,0,177.73523047527183,0,0,0,0,0,0,0
12,1,14,143.85585509408918,0,0,0,0,0,0,0
13,8,3,228.5144785779883,0,0,0,0,0,0,0
14,1,12,203.54913373022987,0,0,0,0,0,0,0
15,5,6,143.47914556851472,0,0,0,0,0,0,0
16,1,14,141.30786210893606,0,0,0,0,0,0,0
17,11,13,119.32369396058172,0,0,0,0,0,0,0
18,17,0,156.63330448609855,0,0,0,0,0,0,0
19,9,4,153.55119274298656,0,0,0,0,0,0,0
20,14,15,213.85944367490868,0,0,0,0,0,0,0
21,7,4,165.92398617875534,0,0,0,0,0,0,0
22,3,1,136.51132902783786,0,0,0,0,0,0,0
23,2,10,182.98602670301682,0,0,0,0,0,0,0
24,17,14,211.97524098935207,0,0,0,0,0,0,0
25,10,14,160.2377274646899,0,0,0,0,0,0,0
26,15,12,213.4578822485941,0,0,0,0,0,0,0
27,1,13,142.29089501878525,0,0,0,0,0,0,0
28,10,1,143.44614416667778,0,0,0,0,0,0,0
29,12,8,155.98628990108642,0,0,0,0,0,0,0
30,16,3,231.23040232236193,0,0,0,0,0,0,0
31,16,6,228.67336122958554,0,0,0,0,0,0,0
32,9,4,189.026691588915,0,0,0,0,0,0,0
33,5,4,116.26240115334272,0,0,0,0,0,0,0
34,10,2,183.34390032061714,0,0,0,0,0,0,0
35,14,8,123.50960234330199,0,0,0,0,0,0,0
36,0,7,184.38389578544786,0,0,0,0,0,0,0
37,7,1,177.32178828543476,0,0,0,0,0,0,0
38,11,0,190.06640229597747,0,0,0,0,0,0,0
39,7,17,136.67159717080204,0,0,0,0,0,0,0
