LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,16,1350,0,0,0,0,0
1,0,3,1881,0,0,0,0,0
2,0,4,1238,0,0,0,0,0
3,1,12,1146,0,0,0,0,0
4,1,6,1649,0,0,0,0,0
5,2,34,1029,0,0,0,0,0
6,2,3,1050,0,0,0,0,0
7,4,5,1434,0,0,0,0,0
8,5,8,1473,0,0,0,0,0
9,5,7,1842,0,0,0,0,0
10,6,23,1897,0,0,0,0,0
11,6,13,1150,0,0,0,0,0
12,6,7,1630,0,0,0,0,0
13,8,28,1073,0,0,0,0,0
14,9,28,1769,0,0,0,0,0
15,10,37,1488,0,0,0,0,0
16,11,37,1237,0,0,0,0,0
17,12,42,1311,0,0,0,0,0
18,13,14,1785,0,0,0,0,0
19,14,15,1196,0,0,0,0,0
20,15,38,1786,0,0,0,0,0
21,16,17,1694,0,0,0,0,0
22,16,35,1195,0,0,0,0,0
23,18,36,1240,0,0,0,0,0
24,19,36,1568,0,0,0,0,0
25,20,38,1833,0,0,0,0,0
26,21,38,1858,0,0,0,0,0
27,22,38,1030,0,0,0,0,0
28,23,24,1415,0,0,0,0,0
29,24,30,1358,0,0,0,0,0
30,25,32,1904,0,0,0,0,0
31,25,26,1946,0,0,0,0,0
32,27,29,1281,0,0,0,0,0
33,27,31,1181,0,0,0,0,0
34,28,29,1318,0,0,0,0,0
35,30,31,1156,0,0,0,0,0
36,31,32,1784,0,0,0,0,0
37,33,34,1389,0,0,0,0,0
38,33,39,1554,0,0,0,0,0
39,36,38,1396,0,0,0,0,0
40,37,38,1086,0,0,0,0,0
41,38,39,1952,0,0,0,0,0
42,39,42,1682,0,0,0,0,0
43,40,41,1563,0,0,0,0,0
44,41,42,1246,0,0,0,0,0
