tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,8,31,210.6877473505433,0,0,0,0,0,0,0
1,37,3,177.9205961217206,0,0,0,0,0,0,0
2,18,13,178.18770965087873,0,0,0,0,0,0,0
3,23,11,194.79193641417865,0,0,0,0,0,0,0
4,36,24,176.54059337849293,0,0,0,0,0,0,0
5,3,40,181.27328716229337,0,0,0,0,0,0,0
6,28,31,224.03015345440804,0,0,0,0,0,0,0
7,21,25,170.85980876856144,0,0,0,0,0,0,0
8,4,41,196.59124931595812,0,0,0,0,0,0,0
9,32,20,161.45655630250837,0,0,0,0,0,0,0
10,6,1,106.17934869475287,0,0,0,0,0,0,0
11,0,42,100.07640326448589,0,0,0,0,0,0,0
12,38,36,108.79720218000048,0,0,0,0,0,0,0
13,37,12,208.67936041650572,0,0,0,0,0,0,0
14,11,32,116.90196714179268,0,0,0,0,0,0,0
15,26,11,124.90694106578403,0,0,0,0,0,0,0
16,16,27,153.31870911011984,0,0,0,0,0,0,0
17,20,0,124.3047395469643,0,0,0,0,0,0,0
18,22,14,219.48967724534054,0,0,0,0,0,0,0
19,41,17,126.65890875963603,0,0,0,0,0,0,0
20,31,12,107.25698688263806,0,0,0,0,0,0,0
21,35,31,124.78544543678551,0,0,0,0,0,0,0
22,1,39,190.35897927366594,0,0,0,0,0,0,0
23,17,22,148.88125596733465,0,0,0,0,0,0,0
24,30,33,172.59569101261079,0,0,0,0,0,0,0
25,31,18,132.20311017900463,0,0,0,0,0,0,0
26,32,20,139.45906653697566,0,0,0,0,0,0,0
27,26,24,191.82963591966222,0,0,0,0,0,0,0
28,39,5,218.49810181267438,0,0,0,0,0,0,0
29,31,2,147.1299999552877,0,0,0,0,0,0,0
30,9,21,157.39579068121935,0,0,0,0,0,0,0
31,3,29,116.55910143628168,0,0,0,0,0,0,0
32,11,40,216.23558755244397,0,0,0,0,0,0,0
33,18,20,113.63894502420254,0,0,0,0,0,0,0
34,20,21,196.00125215071878,0,0,0,0,0,0,0
35,41,35,138.98581515021385,0,0,0,0,0,0,0
36,1,32,178.36471353862882,0,0,0,0,0,0,0
37,8,33,226.99294261101358,0,0,0,0,0,0,0
38,40,10,200.70979422940206,0,0,0,0,0,0,0
39,0,3,187.25376495596703,0,0,0,0,0,0,0
40,16,19,165.75261958092602,0,0,0,0,0,0,0
41,41,15,141.26243686406994,0,0,0,0,0,0,0
42,23,15,124.34396752073309,0,0,0,0,0,0,0
43,4,13,209.87783510476527,0,0,0,0,0,0,0
44,20,7,181.49743952084913,0,0,0,0,0,0,0
45,38,3,116.26087632481575,0,0,0,0,0,0,0
46,39,31,207.3973556315562,0,0,0,0,0,0,0
47,29,4,134.70182968636044,0,0,0,0,0,0,0
48,37,31,100.43771836984415,0,0,0,0,0,0,0
49,16,35,125.35667471546174,0,0,0,0,0,0,0
50,11,26,144.47111794106198,0,0,0,0,0,0,0
51,38,11,221.06038455308297,0,0,0,0,0,0,0
52,5,33,138.47051018248197,0,0,0,0,0,0,0
53,33,23,212.9059369139863,0,0,0,0,0,0,0
54,19,13,159.05128503663784,0,0,0,0,0,0,0
55,0,12,183.10714751096054,0,0,0,0,0,0,0
56,21,9,148.54663817499699,0,0,0,0,0,0,0
57,28,23,150.52593074026495,0,0,0,0,0,0,0
58,19,28,149.1810898192979,0,0,0,0,0,0,0
59,19,27,209.49441814693233,0,0,0,0,0,0,0
60,12,21,116.78787370881886,0,0,0,0,0,0,0
61,35,31,108.34583167536594,0,0,0,0,0,0,0
62,2,0,222.3426483539777,0,0,0,0,0,0,0
63,36,23,208.89543035631576,0,0,0,0,0,0,0
64,35,15,233.76990963463248,0,0,0,0,0,0,0
65,30,32,181.30340906593352,0,0,0,0,0,0,0
66,4,9,185.8646968168909,0,0,0,0,0,0,0
67,28,6,130.63442238048103,0,0,0,0,0,0,0
68,31,26,151.72661922370608,0,0,0,0,0,0,0
69,25,41,193.13209430928796,0,0,0,0,0,0,0
70,4,9,140.6598313863181,0,0,0,0,0,0,0
71,37,8,222.02157266563398,0,0,0,0,0,0,0
72,32,10,108.36378191137202,0,0,0,0,0,0,0
73,18,3,103.45481039374815,0,0,0,0,0,0,0
74,18,42,140.50901860995327,0,0,0,0,0,0,0
75,18,21,207.05912714731988,0,0,0,0,0,0,0
76,23,21,195.6849787260099,0,0,0,0,0,0,0
77,2,29,109.89598524651646,0,0,0,0,0,0,0
78,34,22,116.81978978399444,0,0,0,0,0,0,0
79,34,6,156.23838356937856,0,0,0,0,0,0,0
