LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,1,1715,0,0,0,0,0
1,0,3,1071,0,0,0,0,0
2,1,6,1928,0,0,0,0,0
3,2,10,1526,0,0,0,0,0
4,2,3,1868,0,0,0,0,0
5,4,5,1298,0,0,0,0,0
6,4,7,1882,0,0,0,0,0
7,5,8,1714,0,0,0,0,0
8,6,7,1568,0,0,0,0,0
9,8,18,1057,0,0,0,0,0
10,8,14,1391,0,0,0,0,0
11,9,18,1781,0,0,0,0,0
12,10,18,1093,0,0,0,0,0
13,11,12,1894,0,0,0,0,0
14,11,15,1459,0,0,0,0,0
15,12,13,1925,0,0,0,0,0
16,12,14,1238,0,0,0,0,0
17,15,16,1911,0,0,0,0,0
18,16,17,1773,0,0,0,0,0
19,17,18,1896,0,0,0,0,0
