tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,15,17,181.24207654668766,0,0,0,0,0,0,0
1,5,17,148.86223906741364,0,0,0,0,0,0,0
2,11,6,196.4709945355682,0,0,0,0,0,0,0
3,1,10,131.09711846089513,0,0,0,0,0,0,0
4,18,5,130.8635708656184,0,0,0,0,0,0,0
5,6,14,136.66317431647533,0,0,0,0,0,0,0
6,18,12,151.96053265263666,0,0,0,0,0,0,0
7,12,17,140.18387422809252,0,0,0,0,0,0,0
8,8,11,131.90638518947026,0,0,0,0,0,0,0
9,2,0,186.12582032257657,0,0,0,0,0,0,0
10,13,6,129.21854426093617,0,0,0,0,0,0,0
11,14,18,240.59528956942947,0,0,0,0,0,0,0
12,7,18,162.21782675989553,0,0,0,0,0,0,0
13,1,13,210.90562582958407,0,0,0,0,0,0,0
14,15,9,166.55812141339314,0,0,0,0,0,0,0
15,18,13,191.46724672840054,0,0,0,0,0,0,0
16,10,18,165.5940678406909,0,0,0,0,0,0,0
17,16,7,110.15097597803978,0,0,0,0,0,0,0
18,3,9,114.45719994674907,0,0,0,0,0,0,0
19,15,2,154.01897196930656,0,0,0,0,0,0,0
20,15,1,200.6584878461528,0,0,0,0,0,0,0
21,15,14,208.2820787715595,0,0,0,0,0,0,0
22,3,6,168.4567705524153,0,0,0,0,0,0,0
23,1,11,120.13726892350944,0,0,0,0,0,0,0
24,6,18,195.37685773237638,0,0,0,0,0,0,0
25,15,0,222.54809339021995,0,0,0,0,0,0,0
26,10,9,236.90104481896594,0,0,0,0,0,0,0
27,11,3,216.6027807307761,0,0,0,0,0,0,0
28,0,4,110.3905295329374,0,0,0,0,0,0,0
29,8,6,151.84219756906774,0,0,0,0,0,0,0
30,11,2,227.95033261051182,0,0,0,0,0,0,0
31,0,13,172.33247269914992,0,0,0,0,0,0,0
32,7,17,163.07995524435592,0,0,0,0,0,0,0
33,5,4,184.7536226511491,0,0,0,0,0,0,0
34,1,15,166.54047836548835,0,0,0,0,0,0,0
35,16,17,110.35015899609203,0,0,0,0,0,0,0
36,3,10,141.66184666466089,0,0,0,0,0,0,0
37,3,13,125.26881224699746,0,0,0,0,0,0,0
38,6,11,125.54675004005841,0,0,0,0,0,0,0
39,3,1,181.1776942026317,0,0,0,0,0,0,0
