LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,64,1089,0,0,0,0,0
1,0,1,1627,0,0,0,0,0
2,0,2,1790,0,0,0,0,0
3,0,3,1864,0,0,0,0,0
4,0,5,1060,0,0,0,0,0
5,0,65,1068,0,0,0,0,0
6,0,72,1545,0,0,0,0,0
7,0,73,1052,0,0,0,0,0
8,0,10,1906,0,0,0,0,0
9,4,5,1915,0,0,0,0,0
10,5,7,1095,0,0,0,0,0
11,5,49,1936,0,0,0,0,0
12,5,57,1610,0,0,0,0,0
13,5,58,1700,0,0,0,0,0
14,6,10,1909,0,0,0,0,0
15,8,34,1792,0,0,0,0,0
16,9,34,1364,0,0,0,0,0
17,10,27,1477,0,0,0,0,0
18,10,11,1598,0,0,0,0,0
19,10,59,1127,0,0,0,0,0
20,12,20,1752,0,0,0,0,0
21,13,35,1076,0,0,0,0,0
22,14,35,1616,0,0,0,0,0
23,15,20,1538,0,0,0,0,0
24,16,24,1486,0,0,0,0,0
25,17,24,1991,0,0,0,0,0
26,18,49,1179,0,0,0,0,0
27,19,49,1771,0,0,0,0,0
28,20,34,1617,0,0,0,0,0
29,20,21,1698,0,0,0,0,0
30,20,22,1511,0,0,0,0,0
31,20,23,1423,0,0,0,0,0
32,20,59,1406,0,0,0,0,0
33,24,66,1410,0,0,0,0,0
34,24,35,1537,0,0,0,0,0
35,24,40,1017,0,0,0,0,0
36,24,41,1068,0,0,0,0,0
37,24,49,1136,0,0,0,0,0
38,24,25,1587,0,0,0,0,0
39,26,35,1466,0,0,0,0,0
40,28,35,1891,0,0,0,0,0
41,29,34,1179,0,0,0,0,0
42,30,34,1725,0,0,0,0,0
43,31,34,1893,0,0,0,0,0
44,32,35,1501,0,0,0,0,0
45,33,34,1668,0,0,0,0,0
46,34,35,1568,0,0,0,0,0
47,34,36,1612,0,0,0,0,0
48,34,37,1044,0,0,0,0,0
49,34,38,1055,0,0,0,0,0
50,34,39,1754,0,0,0,0,0
51,34,44,1464,0,0,0,0,0
52,34,48,1873,0,0,0,0,0
53,34,51,1560,0,0,0,0,0
54,34,60,1562,0,0,0,0,0
55,34,62,1965,0,0,0,0,0
56,35,46,1892,0,0,0,0,0
57,35,47,1493,0,0,0,0,0
58,35,55,1426,0,0,0,0,0
59,35,61,1997,0,0,0,0,0
60,35,63,1543,0,0,0,0,0
61,42,44,1034,0,0,0,0,0
62,43,44,1284,0,0,0,0,0
63,44,70,1624,0,0,0,0,0
64,44,45,1443,0,0,0,0,0
65,49,50,1052,0,0,0,0,0
66,49,59,1032,0,0,0,0,0
67,52,59,1669,0,0,0,0,0
68,53,59,1636,0,0,0,0,0
69,54,59,1145,0,0,0,0,0
70,56,59,1640,0,0,0,0,0
71,66,67,1875,0,0,0,0,0
72,66,70,1960,0,0,0,0,0
73,67,68,1561,0,0,0,0,0
74,69,70,1149,0,0,0,0,0
75,70,71,1699,0,0,0,0,0
