tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,6,5,155.30533037140145,0,0,0,0,0,0,0
1,7,2,167.51498957729677,0,0,0,0,0,0,0
2,1,6,203.78058311040394,0,0,0,0,0,0,0
3,5,3,190.44857427956305,0,0,0,0,0,0,0
4,2,10,177.95320916682465,0,0,0,0,0,0,0
5,0,5,202.6140189180726,0,0,0,0,0,0,0
6,7,2,161.47820217979466,0,0,0,0,0,0,0
7,4,9,120.00979782615313,0,0,0,0,0,0,0
8,7,6,221.816879767128,0,0,0,0,0,0,0
9,5,10,179.27443622306532,0,0,0,0,0,0,0
10,9,10,145.6823735892185,0,0,0,0,0,0,0
11,0,1,186.8645129879387,0,0,0,0,0,0,0
12,3,2,140.46914213722258,0,0,0,0,0,0,0
13,3,5,123.43132621190234,0,0,0,0,0,0,0
14,7,4,127.60306985945971,0,0,0,0,0,0,0
15,10,3,112.24031372414598,0,0,0,0,0,0,0
16,2,0,132.53119680219845,0,0,0,0,0,0,0
17,7,2,223.201780389362,0,0,0,0,0,0,0
18,1,4,139.93824344995807,0,0,0,0,0,0,0
19,4,2,149.45746740765824,0,0,0,0,0,0,0
20,0,8,162.90550882769392,0,0,0,0,0,0,0
21,9,1,193.46355966529433,0,0,0,0,0,0,0
22,9,8,170.5792551117251,0,0,0,0,0,0,0
23,9,10,119.65175565982469,0,0,0,0,0,0,0
24,1,10,156.38137492188588,0,0,0,0,0,0,0
25,5,10,202.3005268956215,0,0,0,0,0,0,0
26,9,0,192.30266099904827,0,0,0,0,0,0,0
27,8,9,137.71373494449145,0,0,0,0,0,0,0
28,10,1,183.78809292682544,0,0,0,0,0,0,0
29,7,5,139.17281964321745,0,0,0,0,0,0,0
30,4,10,167.06710458342334,0,0,0,0,0,0,0
31,5,2,161.82507546355515,0,0,0,0,0,0,0
32,0,7,173.38579298905518,0,0,0,0,0,0,0
33,9,6,114.2598760082544,0,0,0,0,0,0,0
34,2,10,120.48465731161917,0,0,0,0,0,0,0
35,0,4,117.37461698123413,0,0,0,0,0,0,0
36,3,0,124.28624172039031,0,0,0,0,0,0,0
37,2,8,154.03859722448038,0,0,0,0,0,0,0
38,0,1,121.0015005221653,0,0,0,0,0,0,0
39,4,8,164.8300263644734,0,0,0,0,0,0,0
40,1,9,177.98219832983744,0,0,0,0,0,0,0
41,5,6,106.88260884852275,0,0,0,0,0,0,0
42,8,7,187.62476305657168,0,0,0,0,0,0,0
43,4,1,106.12582994764757,0,0,0,0,0,0,0
44,1,2,213.4513816276393,0,0,0,0,0,0,0
45,0,7,193.01714321026282,0,0,0,0,0,0,0
46,8,3,141.44219170236744,0,0,0,0,0,0,0
47,8,3,158.61103909968156,0,0,0,0,0,0,0
48,3,5,228.73485117807513,0,0,0,0,0,0,0
49,8,3,240.83009683779173,0,0,0,0,0,0,0
50,5,10,221.17282605530005,0,0,0,0,0,0,0
51,10,7,191.933956718067,0,0,0,0,0,0,0
52,9,0,140.09221141729074,0,0,0,0,0,0,0
53,6,9,195.56013883599817,0,0,0,0,0,0,0
54,4,5,200.69717524095748,0,0,0,0,0,0,0
55,7,3,101.12628543015654,0,0,0,0,0,0,0
56,4,2,166.10506140352234,0,0,0,0,0,0,0
57,10,9,122.70567135332026,0,0,0,0,0,0,0
58,0,4,148.05778858236954,0,0,0,0,0,0,0
59,8,9,149.62481593982605,0,0,0,0,0,0,0
60,8,6,175.72209165982605,0,0,0,0,0,0,0
61,9,4,113.72414288732867,0,0,0,0,0,0,0
62,2,3,143.61199742277836,0,0,0,0,0,0,0
63,3,0,226.08649977359153,0,0,0,0,0,0,0
64,4,5,112.92368124827587,0,0,0,0,0,0,0
65,2,10,210.31278895156757,0,0,0,0,0,0,0
66,2,10,184.3697919640033,0,0,0,0,0,0,0
67,10,8,116.6812632409584,0,0,0,0,0,0,0
68,3,8,220.63300564370007,0,0,0,0,0,0,0
69,6,2,179.3749955022682,0,0,0,0,0,0,0
70,9,5,181.68774013115024,0,0,0,0,0,0,0
71,8,0,191.81414769462432,0,0,0,0,0,0,0
72,7,2,208.923595392926,0,0,0,0,0,0,0
73,3,5,107.24646606547677,0,0,0,0,0,0,0
74,10,6,164.22063904619245,0,0,0,0,0,0,0
75,0,4,188.11843725011067,0,0,0,0,0,0,0
76,9,8,168.48212489972565,0,0,0,0,0,0,0
77,7,4,127.3461261729485,0,0,0,0,0,0,0
78,6,2,205.47611359411033,0,0,0,0,0,0,0
79,3,9,138.44107252460464,0,0,0,0,0,0,0
