tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,1,7,184.24113979509133,0,0,0,0,0,0,0
1,5,3,120.29808676194176,0,0,0,0,0,0,0
2,3,9,145.57172975213277,0,0,0,0,0,0,0
3,5,3,149.3807761655738,0,0,0,0,0,0,0
4,0,8,128.63245451315439,0,0,0,0,0,0,0
5,8,3,121.29321203309175,0,0,0,0,0,0,0
6,2,5,189.9830491701125,0,0,0,0,0,0,0
7,4,6,173.84148448632868,0,0,0,0,0,0,0
8,0,5,100.61877082482472,0,0,0,0,0,0,0
9,1,3,180.85973192146355,0,0,0,0,0,0,0
10,2,10,147.28866354074808,0,0,0,0,0,0,0
11,4,7,194.44062405021128,0,0,0,0,0,0,0
12,3,9,161.7782836417089,0,0,0,0,0,0,0
13,0,3,210.07659412036162,0,0,0,0,0,0,0
14,4,3,192.92120525132012,0,0,0,0,0,0,0
15,6,2,125.39642259087307,0,0,0,0,0,0,0
16,10,6,153.17523554488687,0,0,0,0,0,0,0
17,2,8,205.59619694504568,0,0,0,0,0,0,0
18,2,1,218.99124977700532,0,0,0,0,0,0,0
19,0,1,198.1757810213281,0,0,0,0,0,0,0
20,7,5,205.20434037997552,0,0,0,0,0,0,0
21,5,4,220.15044738638156,0,0,0,0,0,0,0
22,4,8,211.2485401724417,0,0,0,0,0,0,0
23,1,0,135.41697029634457,0,0,0,0,0,0,0
24,2,9,201.59661182243272,0,0,0,0,0,0,0
25,1,9,128.66043815370756,0,0,0,0,0,0,0
26,7,8,201.22103018326806,0,0,0,0,0,0,0
27,10,1,151.13100876473658,0,0,0,0,0,0,0
28,6,3,133.23930427277648,0,0,0,0,0,0,0
29,8,2,187.75894372451734,0,0,0,0,0,0,0
30,5,0,136.78258872546394,0,0,0,0,0,0,0
31,8,6,191.08760310421283,0,0,0,0,0,0,0
32,6,3,174.09262263302034,0,0,0,0,0,0,0
33,0,10,125.81137666157451,0,0,0,0,0,0,0
34,1,9,165.75654685394522,0,0,0,0,0,0,0
35,0,1,137.65403738059985,0,0,0,0,0,0,0
36,5,8,175.47216823351442,0,0,0,0,0,0,0
37,1,8,135.68902434438453,0,0,0,0,0,0,0
38,4,7,114.559587092589,0,0,0,0,0,0,0
39,3,5,214.25236432938115,0,0,0,0,0,0,0
