LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,2,1501,0,0,0,0,0
1,1,59,1991,0,0,0,0,0
2,2,59,1929,0,0,0,0,0
3,3,59,1479,0,0,0,0,0
4,3,6,1102,0,0,0,0,0
5,4,6,1375,0,0,0,0,0
6,5,6,1059,0,0,0,0,0
7,6,7,1006,0,0,0,0,0
8,8,14,1674,0,0,0,0,0
9,9,13,1823,0,0,0,0,0
10,10,11,1700,0,0,0,0,0
11,11,59,1367,0,0,0,0,0
12,12,13,1513,0,0,0,0,0
13,13,14,1941,0,0,0,0,0
14,13,29,1578,0,0,0,0,0
15,13,30,1784,0,0,0,0,0
16,13,31,1788,0,0,0,0,0
17,14,49,1990,0,0,0,0,0
18,15,49,1335,0,0,0,0,0
19,16,17,1524,0,0,0,0,0
20,17,49,1324,0,0,0,0,0
21,18,49,1398,0,0,0,0,0
22,19,49,1597,0,0,0,0,0
23,20,49,1916,0,0,0,0,0
24,21,24,1335,0,0,0,0,0
25,21,49,1050,0,0,0,0,0
26,21,22,1370,0,0,0,0,0
27,23,49,1308,0,0,0,0,0
28,25,49,1487,0,0,0,0,0
29,26,49,1361,0,0,0,0,0
30,27,54,1925,0,0,0,0,0
31,28,49,1130,0,0,0,0,0
32,32,35,1263,0,0,0,0,0
33,33,49,1926,0,0,0,0,0
34,33,46,1850,0,0,0,0,0
35,34,35,1678,0,0,0,0,0
36,35,38,1496,0,0,0,0,0
37,35,39,1068,0,0,0,0,0
38,35,51,1299,0,0,0,0,0
39,35,52,1313,0,0,0,0,0
40,35,53,1343,0,0,0,0,0
41,35,55,1682,0,0,0,0,0
42,35,59,1799,0,0,0,0,0
43,36,59,1920,0,0,0,0,0
44,40,41,1757,0,0,0,0,0
45,40,49,1670,0,0,0,0,0
46,42,49,1362,0,0,0,0,0
47,42,43,1923,0,0,0,0,0
48,42,60,1725,0,0,0,0,0
49,44,49,1036,0,0,0,0,0
50,45,49,1848,0,0,0,0,0
51,47,59,1247,0,0,0,0,0
52,48,49,1702,0,0,0,0,0
53,49,50,1086,0,0,0,0,0
54,49,56,1886,0,0,0,0,0
55,49,57,1601,0,0,0,0,0
56,49,59,1806,0,0,0,0,0
57,49,61,1749,0,0,0,0,0
58,54,59,1060,0,0,0,0,0
59,58,59,1849,0,0,0,0,0
60,59,64,1937,0,0,0,0,0
61,59,70,1745,0,0,0,0,0
62,59,65,1178,0,0,0,0,0
63,59,72,1176,0,0,0,0,0
64,59,67,1231,0,0,0,0,0
65,59,68,1478,0,0,0,0,0
66,59,71,1019,0,0,0,0,0
67,63,72,1849,0,0,0,0,0
68,65,66,1452,0,0,0,0,0
69,68,69,1272,0,0,0,0,0
