tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,5,23,168.5170491384917,0,0,0,0,0,0,0
1,7,55,178.56937943934642,0,0,0,0,0,0,0
2,59,9,226.85679646806824,0,0,0,0,0,0,0
3,1,20,105.96956191809937,0,0,0,0,0,0,0
4,36,28,197.31230858548122,0,0,0,0,0,0,0
5,43,49,194.14035033979803,0,0,0,0,0,0,0
6,46,5,203.63190417510964,0,0,0,0,0,0,0
7,61,13,134.5311336036698,0,0,0,0,0,0,0
8,25,28,131.68588848516245,0,0,0,0,0,0,0
9,48,21,215.000218800886,0,0,0,0,0,0,0
