tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,1,3,148.24758528447578,0,0,0,0,0,0,0
1,1,0,205.9007136492807,0,0,0,0,0,0,0
2,3,5,116.25892864661802,0,0,0,0,0,0,0
3,0,3,173.3073949144292,0,0,0,0,0,0,0
4,5,4,208.87741797195952,0,0,0,0,0,0,0
5,5,4,106.42287156428266,0,0,0,0,0,0,0
6,1,2,127.29697869569385,0,0,0,0,0,0,0
7,3,1,175.36756379706267,0,0,0,0,0,0,0
8,4,3,211.9535581732461,0,0,0,0,0,0,0
9,3,1,166.3159400060146,0,0,0,0,0,0,0
10,1,5,232.40082391687216,0,0,0,0,0,0,0
11,0,1,114.94660857205028,0,0,0,0,0,0,0
12,2,1,186.29864074915145,0,0,0,0,0,0,0
13,0,1,119.90663885075985,0,0,0,0,0,0,0
14,4,0,161.0162656896975,0,0,0,0,0,0,0
15,3,4,184.84189753753034,0,0,0,0,0,0,0
16,2,3,159.94237368717782,0,0,0,0,0,0,0
17,5,2,195.79447273008697,0,0,0,0,0,0,0
18,4,0,213.19243387431516,0,0,0,0,0,0,0
19,0,5,114.96703199908748,0,0,0,0,0,0,0
20,2,1,202.60531496419128,0,0,0,0,0,0,0
21,0,2,135.71917690012506,0,0,0,0,0,0,0
22,4,0,125.89342276277513,0,0,0,0,0,0,0
23,5,0,144.90309301401487,0,0,0,0,0,0,0
24,0,5,173.85711534807672,0,0,0,0,0,0,0
25,5,1,175.685281099139,0,0,0,0,0,0,0
26,5,1,232.7437441353083,0,0,0,0,0,0,0
27,1,3,107.70695735675669,0,0,0,0,0,0,0
28,1,4,213.0553225402346,0,0,0,0,0,0,0
29,1,5,195.4552137573404,0,0,0,0,0,0,0
30,4,0,161.65428116335858,0,0,0,0,0,0,0
31,4,0,112.51232947897843,0,0,0,0,0,0,0
32,2,4,244.02360951648276,0,0,0,0,0,0,0
33,3,5,140.28147488046184,0,0,0,0,0,0,0
34,2,5,145.23316328339044,0,0,0,0,0,0,0
35,1,3,156.2401145173026,0,0,0,0,0,0,0
36,5,1,164.05265454117605,0,0,0,0,0,0,0
37,3,0,207.57406073358845,0,0,0,0,0,0,0
38,1,4,111.43383732685848,0,0,0,0,0,0,0
39,1,3,193.78057531966255,0,0,0,0,0,0,0
40,2,5,181.68908718186754,0,0,0,0,0,0,0
41,0,2,167.0420787437588,0,0,0,0,0,0,0
42,1,5,232.7084808613753,0,0,0,0,0,0,0
43,0,1,108.22806101497423,0,0,0,0,0,0,0
44,2,4,105.69027336558992,0,0,0,0,0,0,0
45,4,3,153.62327555804168,0,0,0,0,0,0,0
46,4,2,107.48168200798288,0,0,0,0,0,0,0
47,0,4,155.22191002301594,0,0,0,0,0,0,0
48,5,1,145.79560784349584,0,0,0,0,0,0,0
49,5,2,126.53717275216658,0,0,0,0,0,0,0
50,4,1,172.49008228651627,0,0,0,0,0,0,0
51,0,3,100.53992649475512,0,0,0,0,0,0,0
52,3,2,207.06922409439062,0,0,0,0,0,0,0
53,5,3,148.86796391208495,0,0,0,0,0,0,0
54,3,0,193.96798185351219,0,0,0,0,0,0,0
55,0,4,198.32735753265973,0,0,0,0,0,0,0
56,0,2,145.1906917418705,0,0,0,0,0,0,0
57,0,2,226.60920435117302,0,0,0,0,0,0,0
58,2,4,220.12809802844953,0,0,0,0,0,0,0
59,1,0,142.06642609935452,0,0,0,0,0,0,0
60,5,1,206.64220841535186,0,0,0,0,0,0,0
61,4,1,123.66637679868502,0,0,0,0,0,0,0
62,3,2,187.4302433417546,0,0,0,0,0,0,0
63,4,3,201.4579898732552,0,0,0,0,0,0,0
64,3,2,222.7095805218286,0,0,0,0,0,0,0
65,3,2,122.82620509305747,0,0,0,0,0,0,0
66,3,0,179.58303851151757,0,0,0,0,0,0,0
67,5,2,124.0121092992416,0,0,0,0,0,0,0
68,4,5,187.75048486687615,0,0,0,0,0,0,0
69,4,3,171.49649091398345,0,0,0,0,0,0,0
70,3,4,135.19850100734507,0,0,0,0,0,0,0
71,0,2,191.79045603497696,0,0,0,0,0,0,0
72,3,1,128.31414097396598,0,0,0,0,0,0,0
73,0,2,165.08216732380384,0,0,0,0,0,0,0
74,4,1,194.52317839020034,0,0,0,0,0,0,0
75,2,0,109.9204033470439,0,0,0,0,0,0,0
76,5,2,123.02948456081869,0,0,0,0,0,0,0
77,2,5,235.74307298139314,0,0,0,0,0,0,0
78,3,5,115.74901892604129,0,0,0,0,0,0,0
79,4,3,217.57420753833765,0,0,0,0,0,0,0
