LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,2,1906,0,0,0,0,0
1,1,19,1783,0,0,0,0,0
2,2,3,1167,0,0,0,0,0
3,2,4,1168,0,0,0,0,0
4,2,10,1975,0,0,0,0,0
5,2,11,1806,0,0,0,0,0
6,2,13,1628,0,0,0,0,0
7,4,19,1834,0,0,0,0,0
8,4,12,1386,0,0,0,0,0
9,4,7,1183,0,0,0,0,0
10,5,19,1715,0,0,0,0,0
11,6,19,1594,0,0,0,0,0
12,8,13,1742,0,0,0,0,0
13,9,19,1265,0,0,0,0,0
14,13,14,1676,0,0,0,0,0
15,13,15,1785,0,0,0,0,0
16,13,16,1102,0,0,0,0,0
17,13,19,1229,0,0,0,0,0
18,17,19,1425,0,0,0,0,0
19,18,19,1847,0,0,0,0,0
