tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,8,6,163.53375703971398,0,0,0,0,0,0,0
1,14,16,243.49803521995534,0,0,0,0,0,0,0
2,4,12,130.19522415298272,0,0,0,0,0,0,0
3,8,10,152.66688083689252,0,0,0,0,0,0,0
4,8,5,181.0935177999698,0,0,0,0,0,0,0
5,9,8,116.3023435723546,0,0,0,0,0,0,0
6,17,18,193.41379614024007,0,0,0,0,0,0,0
7,5,16,216.17166881930865,0,0,0,0,0,0,0
8,15,5,143.06901937562276,0,0,0,0,0,0,0
9,10,16,121.74489261340969,0,0,0,0,0,0,0
10,2,16,219.80421641137178,0,0,0,0,0,0,0
11,11,0,195.99416520232268,0,0,0,0,0,0,0
12,18,0,149.62704644200772,0,0,0,0,0,0,0
13,17,18,128.405905276731,0,0,0,0,0,0,0
14,5,1,182.27923007641877,0,0,0,0,0,0,0
15,8,6,187.94836532014864,0,0,0,0,0,0,0
16,8,19,145.30601655286904,0,0,0,0,0,0,0
17,12,16,228.83603436721006,0,0,0,0,0,0,0
18,0,18,100.01136151856879,0,0,0,0,0,0,0
19,7,8,147.49655598635115,0,0,0,0,0,0,0
20,16,11,113.63637756642017,0,0,0,0,0,0,0
21,4,19,205.18704666160585,0,0,0,0,0,0,0
22,19,7,196.4979430987358,0,0,0,0,0,0,0
23,15,0,140.8852263170112,0,0,0,0,0,0,0
24,5,11,157.4886870951193,0,0,0,0,0,0,0
25,1,16,120.83825622248854,0,0,0,0,0,0,0
26,3,8,128.54282068844932,0,0,0,0,0,0,0
27,7,9,210.89323338729648,0,0,0,0,0,0,0
28,14,4,225.1351402080643,0,0,0,0,0,0,0
29,19,8,229.1135569588809,0,0,0,0,0,0,0
30,14,15,135.1238032319291,0,0,0,0,0,0,0
31,14,2,197.42476923056012,0,0,0,0,0,0,0
32,1,11,224.53505347549205,0,0,0,0,0,0,0
33,0,9,160.6473672598867,0,0,0,0,0,0,0
34,3,8,119.39619609298634,0,0,0,0,0,0,0
35,9,4,176.61219551221365,0,0,0,0,0,0,0
36,18,7,166.48620545551228,0,0,0,0,0,0,0
37,3,8,166.11681353636897,0,0,0,0,0,0,0
38,4,10,204.66339303547107,0,0,0,0,0,0,0
39,4,11,177.24266689714457,0,0,0,0,0,0,0
40,14,2,133.36429956880824,0,0,0,0,0,0,0
41,0,10,135.508951912449,0,0,0,0,0,0,0
42,4,3,168.01401148614985,0,0,0,0,0,0,0
43,14,18,118.38914478634915,0,0,0,0,0,0,0
44,19,18,126.36905630656294,0,0,0,0,0,0,0
45,6,2,213.74982017192877,0,0,0,0,0,0,0
46,12,6,190.28087009540326,0,0,0,0,0,0,0
47,19,13,119.9100382673835,0,0,0,0,0,0,0
48,5,2,229.14258389786644,0,0,0,0,0,0,0
49,8,2,169.17764113877058,0,0,0,0,0,0,0
50,0,6,110.62881945543924,0,0,0,0,0,0,0
51,19,16,222.52378870163432,0,0,0,0,0,0,0
52,3,6,121.07655267940017,0,0,0,0,0,0,0
53,7,8,166.0664545671841,0,0,0,0,0,0,0
54,17,2,144.70308590993875,0,0,0,0,0,0,0
55,13,6,174.2074848516557,0,0,0,0,0,0,0
56,18,2,127.17917432909798,0,0,0,0,0,0,0
57,6,17,161.97623072642486,0,0,0,0,0,0,0
58,0,17,175.33173427414636,0,0,0,0,0,0,0
59,15,0,152.4471031453267,0,0,0,0,0,0,0
60,18,16,116.50308647779165,0,0,0,0,0,0,0
61,9,18,165.96035232059143,0,0,0,0,0,0,0
62,4,15,162.38559145937504,0,0,0,0,0,0,0
63,6,5,147.90692738682228,0,0,0,0,0,0,0
64,17,14,106.49970855160943,0,0,0,0,0,0,0
65,5,19,183.67778039293412,0,0,0,0,0,0,0
66,1,17,128.6891102699555,0,0,0,0,0,0,0
67,12,19,126.4042186087404,0,0,0,0,0,0,0
68,15,11,159.32148519075298,0,0,0,0,0,0,0
69,15,7,109.47832154992193,0,0,0,0,0,0,0
70,7,19,189.77051915445506,0,0,0,0,0,0,0
71,18,9,185.66826129153702,0,0,0,0,0,0,0
72,12,9,100.03762212909602,0,0,0,0,0,0,0
73,7,0,157.48183636616412,0,0,0,0,0,0,0
74,4,7,135.11560628823213,0,0,0,0,0,0,0
75,5,14,114.48949984702512,0,0,0,0,0,0,0
76,1,3,114.8372632359578,0,0,0,0,0,0,0
77,1,4,147.85024602254236,0,0,0,0,0,0,0
78,2,9,197.45619991508107,0,0,0,0,0,0,0
79,3,10,183.4201304224112,0,0,0,0,0,0,0
