LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,1,1604,0,0,0,0,0
1,0,3,1504,0,0,0,0,0
2,1,10,1519,0,0,0,0,0
3,1,6,1054,0,0,0,0,0
4,2,3,1658,0,0,0,0,0
5,4,19,1627,0,0,0,0,0
6,4,5,1288,0,0,0,0,0
7,5,16,1031,0,0,0,0,0
8,6,11,1213,0,0,0,0,0
9,7,19,1654,0,0,0,0,0
10,8,19,1986,0,0,0,0,0
11,9,16,1183,0,0,0,0,0
12,10,19,1846,0,0,0,0,0
13,12,22,1265,0,0,0,0,0
14,13,19,1591,0,0,0,0,0
15,14,15,1607,0,0,0,0,0
16,15,21,1417,0,0,0,0,0
17,15,23,1739,0,0,0,0,0
18,16,19,1569,0,0,0,0,0
19,17,18,1402,0,0,0,0,0
20,18,19,1786,0,0,0,0,0
21,19,20,1030,0,0,0,0,0
22,19,21,1960,0,0,0,0,0
23,21,22,1109,0,0,0,0,0
