LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,3,1955,0,0,0,0,0
1,0,13,1159,0,0,0,0,0
2,1,10,1801,0,0,0,0,0
3,1,3,1720,0,0,0,0,0
4,2,15,1622,0,0,0,0,0
5,4,19,1712,0,0,0,0,0
6,4,5,1469,0,0,0,0,0
7,4,7,1622,0,0,0,0,0
8,5,8,1583,0,0,0,0,0
9,5,6,1805,0,0,0,0,0
10,7,16,1207,0,0,0,0,0
11,9,14,1119,0,0,0,0,0
12,11,20,1425,0,0,0,0,0
13,11,13,1168,0,0,0,0,0
14,11,21,1909,0,0,0,0,0
15,12,16,1108,0,0,0,0,0
16,13,18,1255,0,0,0,0,0
17,14,15,1742,0,0,0,0,0
18,14,23,1679,0,0,0,0,0
19,16,17,1885,0,0,0,0,0
20,19,20,1784,0,0,0,0,0
21,21,22,1388,0,0,0,0,0
22,22,23,1539,0,0,0,0,0
