tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,22,10,133.45890628150138,0,0,0,0,0,0,0
1,0,20,124.5129477553595,0,0,0,0,0,0,0
2,15,13,227.84588525137403,0,0,0,0,0,0,0
3,10,15,206.19735980127342,0,0,0,0,0,0,0
4,1,5,155.59048908344397,0,0,0,0,0,0,0
5,20,1,174.42912496135057,0,0,0,0,0,0,0
6,18,10,177.07133972114474,0,0,0,0,0,0,0
7,10,23,127.23639533073342,0,0,0,0,0,0,0
8,12,14,153.95659485476415,0,0,0,0,0,0,0
9,20,10,193.33058897560923,0,0,0,0,0,0,0
10,1,13,206.31823260344567,0,0,0,0,0,0,0
11,20,8,118.27815887057037,0,0,0,0,0,0,0
12,3,11,143.13332191746386,0,0,0,0,0,0,0
13,19,12,186.6065983782103,0,0,0,0,0,0,0
14,0,23,165.45998982355763,0,0,0,0,0,0,0
15,2,10,120.63534573735515,0,0,0,0,0,0,0
16,0,16,167.42632584431288,0,0,0,0,0,0,0
17,22,21,194.5706151437111,0,0,0,0,0,0,0
18,10,5,108.9568256615405,0,0,0,0,0,0,0
19,12,16,195.12027594216227,0,0,0,0,0,0,0
20,12,19,175.45379491746365,0,0,0,0,0,0,0
21,16,3,196.0565631127597,0,0,0,0,0,0,0
22,17,23,151.73684664251772,0,0,0,0,0,0,0
23,13,3,195.47873688254538,0,0,0,0,0,0,0
24,14,8,103.71400266102603,0,0,0,0,0,0,0
25,4,10,140.2590934325748,0,0,0,0,0,0,0
26,20,16,162.94330031524183,0,0,0,0,0,0,0
27,20,21,144.38552299061084,0,0,0,0,0,0,0
28,6,2,197.42617233234733,0,0,0,0,0,0,0
29,6,3,137.00027631664682,0,0,0,0,0,0,0
30,8,13,100.54265409504922,0,0,0,0,0,0,0
31,22,5,124.47520583123736,0,0,0,0,0,0,0
32,5,11,127.15973199684639,0,0,0,0,0,0,0
33,18,13,121.71786130640596,0,0,0,0,0,0,0
34,0,13,144.8567156169022,0,0,0,0,0,0,0
35,12,6,106.96397118237401,0,0,0,0,0,0,0
36,2,6,140.2208377924137,0,0,0,0,0,0,0
37,16,1,132.1998834710629,0,0,0,0,0,0,0
38,6,14,125.54693678329221,0,0,0,0,0,0,0
39,5,19,104.59865779647681,0,0,0,0,0,0,0
