LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,32,1419,0,0,0,0,0
1,0,41,1335,0,0,0,0,0
2,1,32,1077,0,0,0,0,0
3,1,33,1931,0,0,0,0,0
4,2,3,1709,0,0,0,0,0
5,2,78,1257,0,0,0,0,0
6,3,4,1580,0,0,0,0,0
7,4,5,1726,0,0,0,0,0
8,5,6,1813,0,0,0,0,0
9,6,7,1049,0,0,0,0,0
10,7,11,1871,0,0,0,0,0
11,8,9,1778,0,0,0,0,0
12,8,11,1073,0,0,0,0,0
13,9,41,1841,0,0,0,0,0
14,10,11,1560,0,0,0,0,0
15,10,62,1319,0,0,0,0,0
16,12,64,1860,0,0,0,0,0
17,12,65,1992,0,0,0,0,0
18,13,29,1858,0,0,0,0,0
19,13,77,1116,0,0,0,0,0
20,14,52,1147,0,0,0,0,0
21,14,70,1184,0,0,0,0,0
22,15,25,1302,0,0,0,0,0
23,15,51,1436,0,0,0,0,0
24,16,64,1085,0,0,0,0,0
25,16,67,1434,0,0,0,0,0
26,17,60,1615,0,0,0,0,0
27,17,61,1470,0,0,0,0,0
28,18,33,1921,0,0,0,0,0
29,18,30,1831,0,0,0,0,0
30,19,31,1788,0,0,0,0,0
31,20,21,1168,0,0,0,0,0
32,20,23,1023,0,0,0,0,0
33,21,46,1052,0,0,0,0,0
34,22,83,1256,0,0,0,0,0
35,22,23,1110,0,0,0,0,0
36,24,25,1881,0,0,0,0,0
37,24,27,1452,0,0,0,0,0
38,24,28,1808,0,0,0,0,0
39,26,79,1199,0,0,0,0,0
40,26,47,1240,0,0,0,0,0
41,27,47,1627,0,0,0,0,0
42,28,51,1232,0,0,0,0,0
43,29,51,1294,0,0,0,0,0
44,30,31,1734,0,0,0,0,0
45,33,34,1879,0,0,0,0,0
46,34,55,1183,0,0,0,0,0
47,35,82,1802,0,0,0,0,0
48,35,83,1962,0,0,0,0,0
49,36,82,1056,0,0,0,0,0
50,36,91,1981,0,0,0,0,0
51,36,55,1841,0,0,0,0,0
52,37,91,1531,0,0,0,0,0
53,37,39,1248,0,0,0,0,0
54,38,90,1166,0,0,0,0,0
55,38,39,1478,0,0,0,0,0
56,40,46,1154,0,0,0,0,0
57,40,79,1430,0,0,0,0,0
58,42,49,1190,0,0,0,0,0
59,42,43,1995,0,0,0,0,0
60,43,74,1886,0,0,0,0,0
61,44,75,1637,0,0,0,0,0
62,44,76,1380,0,0,0,0,0
63,45,50,1614,0,0,0,0,0
64,45,76,1439,0,0,0,0,0
65,45,85,1012,0,0,0,0,0
66,46,73,1801,0,0,0,0,0
67,46,78,1857,0,0,0,0,0
68,47,48,1344,0,0,0,0,0
69,48,80,1271,0,0,0,0,0
70,49,81,1773,0,0,0,0,0
71,50,77,1275,0,0,0,0,0
72,52,53,1129,0,0,0,0,0
73,53,60,1510,0,0,0,0,0
74,54,72,1333,0,0,0,0,0
75,54,57,1519,0,0,0,0,0
76,56,57,1088,0,0,0,0,0
77,56,59,1545,0,0,0,0,0
78,58,59,1706,0,0,0,0,0
79,58,61,1814,0,0,0,0,0
80,62,65,1184,0,0,0,0,0
81,63,86,1518,0,0,0,0,0
82,63,87,1590,0,0,0,0,0
83,66,67,1777,0,0,0,0,0
84,66,69,1527,0,0,0,0,0
85,68,69,1760,0,0,0,0,0
86,68,71,1350,0,0,0,0,0
87,70,71,1167,0,0,0,0,0
88,72,73,1752,0,0,0,0,0
89,74,75,1847,0,0,0,0,0
90,80,81,1709,0,0,0,0,0
91,84,85,1493,0,0,0,0,0
92,84,86,1176,0,0,0,0,0
93,87,88,1093,0,0,0,0,0
94,88,89,1726,0,0,0,0,0
95,89,90,1180,0,0,0,0,0
