tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,72,60,102.55377269735368,0,0,0,0,0,0,0
1,71,37,100.33227724108686,0,0,0,0,0,0,0
2,36,9,166.88017814782012,0,0,0,0,0,0,0
3,1,25,176.86101991331714,0,0,0,0,0,0,0
4,78,37,211.84513156183127,0,0,0,0,0,0,0
5,0,1,127.54253621929549,0,0,0,0,0,0,0
6,38,0,190.39203850247787,0,0,0,0,0,0,0
7,21,47,105.32665128896173,0,0,0,0,0,0,0
8,10,46,172.3785408385138,0,0,0,0,0,0,0
9,17,34,108.33133269726625,0,0,0,0,0,0,0
10,82,66,161.58517364448534,0,0,0,0,0,0,0
11,11,67,187.42506398295018,0,0,0,0,0,0,0
12,10,66,198.03640682477268,0,0,0,0,0,0,0
13,52,86,168.36820457786644,0,0,0,0,0,0,0
14,35,91,170.85837409475494,0,0,0,0,0,0,0
15,18,6,190.91019485640527,0,0,0,0,0,0,0
16,8,67,178.09292178207264,0,0,0,0,0,0,0
17,50,69,176.21228947978858,0,0,0,0,0,0,0
18,85,10,164.63654908137977,0,0,0,0,0,0,0
19,61,78,233.95945582013061,0,0,0,0,0,0,0
20,41,82,197.83858726145957,0,0,0,0,0,0,0
21,16,21,206.98014269809192,0,0,0,0,0,0,0
22,27,35,125.22578993879992,0,0,0,0,0,0,0
23,42,49,132.68827292363665,0,0,0,0,0,0,0
24,2,84,131.65128554508107,0,0,0,0,0,0,0
25,39,11,181.6784742786621,0,0,0,0,0,0,0
26,42,39,153.93316119423187,0,0,0,0,0,0,0
27,79,9,231.88782728648448,0,0,0,0,0,0,0
28,87,61,217.45938602493564,0,0,0,0,0,0,0
29,80,23,234.56316603963097,0,0,0,0,0,0,0
30,85,36,131.56358306950273,0,0,0,0,0,0,0
31,9,3,216.9282391697712,0,0,0,0,0,0,0
32,62,16,163.0726345584951,0,0,0,0,0,0,0
33,89,70,153.11015217865503,0,0,0,0,0,0,0
34,33,57,140.89494321696787,0,0,0,0,0,0,0
35,50,60,217.1085880463889,0,0,0,0,0,0,0
36,17,64,133.07378954406033,0,0,0,0,0,0,0
37,45,1,202.47982504222787,0,0,0,0,0,0,0
38,55,15,173.14708845963105,0,0,0,0,0,0,0
39,43,65,131.28923923634818,0,0,0,0,0,0,0
