LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,1,1289,0,0,0,0,0
1,0,19,1301,0,0,0,0,0
2,1,18,1935,0,0,0,0,0
3,2,19,1782,0,0,0,0,0
4,2,12,1878,0,0,0,0,0
5,3,15,1454,0,0,0,0,0
6,3,22,1737,0,0,0,0,0
7,3,23,1798,0,0,0,0,0
8,4,18,1147,0,0,0,0,0
9,4,7,1728,0,0,0,0,0
10,4,23,1514,0,0,0,0,0
11,5,8,1387,0,0,0,0,0
12,5,9,1617,0,0,0,0,0
13,5,18,1553,0,0,0,0,0
14,6,16,1848,0,0,0,0,0
15,6,17,1949,0,0,0,0,0
16,7,18,1579,0,0,0,0,0
17,8,17,1901,0,0,0,0,0
18,8,9,1225,0,0,0,0,0
19,10,21,1892,0,0,0,0,0
20,11,12,1844,0,0,0,0,0
21,11,20,1097,0,0,0,0,0
22,13,20,1508,0,0,0,0,0
23,14,20,1459,0,0,0,0,0
24,14,22,1852,0,0,0,0,0
25,15,19,1969,0,0,0,0,0
26,16,19,1430,0,0,0,0,0
27,17,18,1083,0,0,0,0,0
28,17,19,1532,0,0,0,0,0
29,19,21,1738,0,0,0,0,0
30,19,23,1041,0,0,0,0,0
31,20,22,1893,0,0,0,0,0
32,20,21,1996,0,0,0,0,0
33,22,23,1926,0,0,0,0,0
