tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,19,7,117.52125621962115,0,0,0,0,0,0,0
1,0,15,100.16756524595947,0,0,0,0,0,0,0
2,6,5,131.26848488310884,0,0,0,0,0,0,0
3,2,23,154.91377637227228,0,0,0,0,0,0,0
4,16,12,216.3642399808369,0,0,0,0,0,0,0
5,14,17,106.38098856125205,0,0,0,0,0,0,0
6,9,11,137.7377611338659,0,0,0,0,0,0,0
7,20,12,171.09103183695683,0,0,0,0,0,0,0
8,20,3,104.80861512516469,0,0,0,0,0,0,0
9,8,11,115.30285246588092,0,0,0,0,0,0,0
10,14,11,184.3603244727689,0,0,0,0,0,0,0
11,15,1,197.99597829368997,0,0,0,0,0,0,0
12,22,8,165.01568292008795,0,0,0,0,0,0,0
13,4,12,204.35945758990192,0,0,0,0,0,0,0
14,21,4,129.38622555921398,0,0,0,0,0,0,0
15,16,15,222.10834816702436,0,0,0,0,0,0,0
16,23,14,247.3361158394354,0,0,0,0,0,0,0
17,17,22,183.23423399153015,0,0,0,0,0,0,0
18,0,6,141.97091878171315,0,0,0,0,0,0,0
19,11,18,119.34870449768982,0,0,0,0,0,0,0
20,7,2,193.22983497285526,0,0,0,0,0,0,0
21,17,2,139.01863533738663,0,0,0,0,0,0,0
22,22,23,180.5905755201167,0,0,0,0,0,0,0
23,2,12,107.63898412699928,0,0,0,0,0,0,0
24,8,0,100.06304243113857,0,0,0,0,0,0,0
25,9,1,141.8416852950962,0,0,0,0,0,0,0
26,11,8,224.9039207686024,0,0,0,0,0,0,0
27,12,15,115.47335966828867,0,0,0,0,0,0,0
28,7,16,146.57653910013346,0,0,0,0,0,0,0
29,1,5,114.88326965979478,0,0,0,0,0,0,0
30,13,1,224.9541639669594,0,0,0,0,0,0,0
31,16,1,217.8453129497471,0,0,0,0,0,0,0
32,21,22,244.79692399868927,0,0,0,0,0,0,0
33,10,17,206.6369364998468,0,0,0,0,0,0,0
34,14,7,182.88962836418034,0,0,0,0,0,0,0
35,21,15,227.9875299886068,0,0,0,0,0,0,0
36,4,18,204.53305827182893,0,0,0,0,0,0,0
37,4,7,137.5193177269008,0,0,0,0,0,0,0
38,6,20,177.26897911592783,0,0,0,0,0,0,0
39,0,1,165.63975023415958,0,0,0,0,0,0,0
40,14,22,198.00632683013987,0,0,0,0,0,0,0
41,19,21,101.5515992377587,0,0,0,0,0,0,0
42,21,16,211.17678731370802,0,0,0,0,0,0,0
43,18,23,193.3546218047054,0,0,0,0,0,0,0
44,22,15,171.65074820658234,0,0,0,0,0,0,0
45,12,15,109.62426467673997,0,0,0,0,0,0,0
46,7,14,187.74784230467426,0,0,0,0,0,0,0
47,20,2,150.16272581626063,0,0,0,0,0,0,0
48,11,17,199.3067934378957,0,0,0,0,0,0,0
49,12,9,218.43757495254727,0,0,0,0,0,0,0
50,11,22,136.56565125820885,0,0,0,0,0,0,0
51,9,17,108.76021283158477,0,0,0,0,0,0,0
52,3,4,181.054034741621,0,0,0,0,0,0,0
53,11,21,131.85448324685348,0,0,0,0,0,0,0
54,2,11,192.07739323862967,0,0,0,0,0,0,0
55,7,13,174.5125764011221,0,0,0,0,0,0,0
56,14,5,101.92975221965844,0,0,0,0,0,0,0
57,19,17,200.9955970734664,0,0,0,0,0,0,0
58,15,3,195.27400959668154,0,0,0,0,0,0,0
59,12,22,189.81492766442267,0,0,0,0,0,0,0
60,0,19,213.6339442712512,0,0,0,0,0,0,0
61,22,11,138.33511081773167,0,0,0,0,0,0,0
62,9,2,139.39803696296025,0,0,0,0,0,0,0
63,18,2,209.34175287576738,0,0,0,0,0,0,0
64,18,6,157.6604316412507,0,0,0,0,0,0,0
65,20,17,167.86613044055417,0,0,0,0,0,0,0
66,12,13,147.56787852257378,0,0,0,0,0,0,0
67,17,1,219.07805425416024,0,0,0,0,0,0,0
68,1,9,205.65219933267718,0,0,0,0,0,0,0
69,11,0,131.71121865002905,0,0,0,0,0,0,0
70,23,7,116.73537431189841,0,0,0,0,0,0,0
71,17,19,137.3055534121679,0,0,0,0,0,0,0
72,10,22,119.84887742102525,0,0,0,0,0,0,0
73,3,6,153.96080851239768,0,0,0,0,0,0,0
74,22,5,105.3270938811442,0,0,0,0,0,0,0
75,21,10,193.43735538508085,0,0,0,0,0,0,0
76,10,12,154.54250540606947,0,0,0,0,0,0,0
77,16,20,150.3156517503462,0,0,0,0,0,0,0
78,18,12,208.48146307008614,0,0,0,0,0,0,0
79,15,11,127.00035108988214,0,0,0,0,0,0,0
